id,이름,종류,대미지,재장전ms,사거리px,연발수,비유도연발,연발간격ms,탄속px초,요구레벨,등급라벨,무기분류,영문명,주사위,치명사거리,구매가,특성설명,출처행,구현아이디,기능구분,공속,발사방향,타겟팅,타격범위,발사각,반복,발사체색,발사효과,피격효과,음향,레이저색,색상,글로우색,tradePortListed
w_laser_arc_030,성계 방위용 빔,laser,10,1370,198,1,0,0,5200,18,전설,중거리,Star-System Defense Beam,1d8+5,19−20/x2,195000,행성 거점급의 거대 출력이 함포에 집중되어 일직선상의 모든 걸 소각.,30,30,레이저,,,,,0도,,,,,,,,,TRUE
w_missile_arc_031,시공간 유도 미사일,missile,9,2400,218,1,0,420,194,19,전설,장거리,Space-Time Guided Missile,1d6+5,x3,205500,비행 도중 사라졌다가 적 함선의 바로 뒤에서 갑자기 나타나 타격.,31,31,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_032,에너지 보우 캐넌,missile,9,2400,220,1,0,420,192,20,전설,장거리,Energy Bow Cannon,1d8+5,x3/IgnoreAC,204500,활 모양의 집광 장치에서 발사된 순수 에너지가 실드를 무시하고 관통.,32,32,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_033,관통형 타키온 로켓탄,rocket,1,1800,118,6,0,90,450,20,전설,단거리,Penetrating Tachyon Round,1d10+5,19−20/x2,216000,발사와 동시에 명중 판정이 날 정도로 압도적인 속도의 청색 섬광.,33,33,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_034,자율 기동 댄싱 드론,drone,11,2200,199,1,0,420,111,20,전설,중거리,Autonomous Dancing Drone,1d8+4,19−20/x2,214500,함선 명령 없이도 드론 스스로 적의 약점을 찾아 춤추듯 사격.,34,34,드론,,,,,,,,,,,,,,TRUE
w_missile_arc_035,메테오 스트라이커,missile,10,2400,222,1,0,420,121,20,전설,장거리,Meteoric Striker,1d8+5,x3,204500,하늘에서 수천 도의 열기를 띤 대형 운석형 포탄들이 비처럼 쏟아짐.,35,35,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_036,아다만틴 함재기,carrier,12,2200,225,1,0,420,105,20,전설,장거리,Adamantine Star-Fighter,1d8+5,x3/IgnoreDR,231000,어떤 대공포에도 파괴되지 않는 금속 기체들이 적 선체를 들이받음.,36,36,함재기,,,,,,,,,,,,,,TRUE
w_laser_arc_037,에픽 페이저 뱅크,laser,11,1265,200,1,0,0,5200,21,에픽,중거리,Epic Phased Bank,1d8+6,19−20/x2,318000,우주의 물리 법칙을 일시적으로 비트는 황금빛 고출력 에너지 줄기.,37,37,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_038,지각 붕괴 로켓탄,rocket,1,1800,120,6,0,90,450,22,에픽,단거리,Tectonic Disruption Rocket,1d8+9,x4,354500,타격 지점에서 강력한 충격파가 발생해 함체 전체에 거미줄 모양 균열.,38,38,로켓탄,,,,,,,,,,,,,,TRUE
w_laser_arc_039,카스의 파멸 로켓탄,rocket,1,1800,123,6,0,90,450,23,에픽,단거리,Doom Cannon of Kas,1d10+10,19−20/x2,352500,붉은 안개처럼 뿜어져 나오는 포탄이 적 함선의 에너지를 빨아들임.,39,39,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_040,초광속 미사일,missile,9,2400,227,1,0,420,194,24,에픽,장거리,Superluminal Missile,1d8+6,x3/Distant,331000,워프 항행 중인 적 함선까지 쫓아가 타격하는 성계 최강의 추격병기.,40,40,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_041,트리플 탄두 런처,missile,9,2400,229,1,0,420,191,25,에픽,장거리,Triple-Warhead Launcher,1d4+8,x2/Triple,475000,"""탄두 하나가 세 개로 분열되어 적의 함수, 함교, 함미를 동시 타격.""",41,41,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_042,다이어 레일 로켓탄,rocket,1,1800,125,6,0,90,450,26,에픽,단거리,Dire Railgun,1d12+10,x3,496500,중형 함선 크기만한 철강 탄환이 적 함선 자체를 두 동강 내버림.,42,42,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_043,무한 기동 함재기,carrier,11,2200,232,1,0,420,125,27,에픽,장거리,Infinite Maneuver Fighter,1d10+7,x3/Reach,527500,파괴되어도 나노봇으로 즉시 재생되는 은색 기체들이 적을 뒤덮음.,43,43,함재기,,,,,,,,,,,,,,TRUE
w_missile_arc_044,전방위 레이저 망,missile,9,2400,234,1,0,420,165,28,에픽,장거리,Omni-Directional Laser Net,1d4+8,x2/Wide,657000,함선을 중심으로 수 킬로미터 범위에 미세 레이저 그물망을 형성.,44,44,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_045,섹터 클린 미사일,missile,9,2400,236,1,0,420,192,29,에픽,장거리,Sector-Clean Scythe Missile,2d4+9,x4,660500,대낫 모양의 궤적을 그리며 회전하는 미사일이 광범위한 적 소탕.,45,45,미사일,,,,,,,,,,,,,,TRUE
w_laser_arc_046,보이드 보텍스 레이저,laser,17,950,202,1,0,0,5200,30,초월,중거리,Void Vortex Laser,1d10+11,19−20/x2,708000,타격 지점의 공간이 찢어지며 검은 구멍 속으로 함체가 빨려 들어감.,46,46,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_047,나노 소울 분해 로켓탄,rocket,1,1800,128,6,0,90,450,31,초월,단거리,Nano-Soul Disintegration Rocket,1d4+14,x2/HDDrain,1089500,명중 시 투명한 가스가 퍼지며 적 선내의 모든 생명 신호가 사라짐.,47,47,로켓탄,,,,,,,,,,,,,,TRUE
w_laser_arc_048,신격 학살용 로켓탄 어뢰,rocket,1,1800,130,6,0,90,450,33,초월,단거리,Divine-Slaying Torpedo,2d6+20,19−20/x2,1070500,고차원 방어막을 중화시키는 백색 불꽃이 함대 전체를 증발시킴.,48,48,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_049,코스믹 트레이서,missile,9,2400,238,1,0,420,194,35,초월,장거리,Cosmic Tracer,1d10+13,x3,1418000,우주 탄생의 잔광을 추적해 은하 반대편의 적을 정확히 꿰뚫음.,49,49,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_050,항성 낙하 로켓탄 투창,rocket,1,1800,133,6,0,90,450,37,초월,단거리,Stellar-Fall Javelin Round,1d6+15,x3,1980000,태양의 흑점 에너지를 담은 창 모양의 포탄이 적 함선을 태워버림.,50,50,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_051,차원 도약 미사일,missile,9,2400,241,1,0,420,194,39,초월,장거리,Dimensional Leap Missile,1d8+17,x3/Warp,1878500,차원 사이를 무작위로 도약하며 적의 모든 레이더를 기만하고 명중.,51,51,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_052,선더링 격침기,missile,10,2400,243,1,0,420,138,40,초월,장거리,Sundering Ship-Breaker,1d12+12,x3/Sunder,2454000,굉음과 함께 공간을 깨트리는 충격파가 주변 모든 전함의 실드 파괴.,52,52,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_053,아차원 수용 드론,drone,10,2200,203,1,0,420,138,40,초월,중거리,Demiplane Containment Drone,1d6+16,x2/Plane,2599000,적 함대를 작은 큐브 공간에 가둔 뒤 현실 우주에서 지워버림.,53,53,드론,,,,,,,,,,,,,,TRUE
w_missile_arc_054,안티매직 펄스 캐넌,missile,9,2400,245,1,0,420,191,40,초월,장거리,Anti-Magic Pulse Cannon,1d8+17,x2/Dispel,2471000,강력한 EMP 파동이 발생해 범위 내 모든 고차원 장비와 마법 무효화.,54,54,미사일,,,,,,,,,,,,,,TRUE
w_laser_arc_055,카이로스 시공간 로켓탄포,rocket,1,1800,135,6,0,90,450,41,신격,단거리,Kairos Space-Time Cannon,1d10+22,19−20/x2,2836500,타격 지점의 시간을 정지시켜 적을 영원히 고정된 정지 상태로 만듦.,55,55,로켓탄,,,,,,,,,,,,,,TRUE
w_laser_arc_056,하이어라키 제어 빔,laser,29,495,204,1,0,0,5200,43,신격,중거리,Hierarchy Control Beam,1d8+24,19−20/x2,2553000,타격 시 적 함선의 통제권이 강제로 아군에게 넘어와 자폭을 명령.,56,56,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_057,판테온 총력포,laser,37,425,206,1,0,0,5200,45,신격,중거리,Pantheon Total Cannon,2d6+30,19−20/x2,3481000,고대 신들의 문양이 전방에 나타나며 성좌의 형상을 한 빔이 발사됨.,57,57,레이저,,,,,0도,,,,,,,,,TRUE
w_missile_arc_058,영겁의 추적 미사일,missile,9,2400,247,1,0,420,194,47,신격,장거리,Eternal Tracking Missile,1d10+21,x3,3569000,적 함선이 파괴될 때까지 우주 끝까지 쫓아가는 집념의 푸른 안개.,58,58,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_059,스타-제네시스 캐넌,missile,9,2400,250,1,0,420,220,49,신격,장거리,Star-Genesis Cannon,2d10+27,x3,4863500,포탄이 닿는 곳에서 새로운 별이 탄생하며 적 함선을 중심부로 흡수.,59,59,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_060,옴니-조준 시스템,missile,9,2400,252,1,0,420,220,50,신격,장거리,Omni-Targeting System,1d8+28,x3/All,4766000,전장의 모든 적 함선의 치명적 약점을 붉은 실선으로 연결해 자동 사격.,60,60,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_061,월드-에코 충격파포,missile,9,2400,254,1,0,420,220,50,신격,장거리,World-Echo Shockwave Cannon,1d10+23,x3/Planet,4731000,함포 발사음이 성계 전체에 울려 퍼지며 그 진동만으로 적 함대 파손.,61,61,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_062,아포칼립스 클러스터,missile,9,2400,257,1,0,420,220,50,신격,장거리,Apocalypse Cluster,1d12+25,x3,4757500,은하 지도의 한 구역이 검게 변하며 그 안의 모든 물질이 붕괴함.,62,62,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_063,제네시스 모함,missile,9,2400,259,1,0,420,191,50,신격,장거리,Genesis Mothership,1d8+25,x3/Creator,4740000,함선 자체가 전장의 법칙을 재작성하여 아군은 치유하고 적은 분해함.,63,63,미사일,,,,,,,,,,,,,,TRUE
w_laser_arc_064,인피니티 제로 레이저,laser,46,280,207,1,0,0,5200,51,코스믹,중거리,Infinity Zero Laser,1d10+40,19−20/x2,5300000,모든 장갑과 실드 수치를 무시하고 함선을 원자 단위로 분해함.,64,64,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_065,싱귤래리티 로켓탄,rocket,1,1800,138,6,0,90,450,53,코스믹,단거리,Singularity Rocket,1d4+55,x2/Mass,7507000,초거대 질량을 가진 포탄이 적 함선을 손바닥만 한 크기로 압축함.,65,65,로켓탄,,,,,,,,,,,,,,TRUE
w_laser_arc_066,데스티니 빔 라이플,laser,60,280,209,1,0,0,5200,55,코스믹,중거리,Destiny Beam Rifle,1d8+55,19−20/x2,7043000,명중했다라는 결과가 원인보다 먼저 발생하여 적을 즉시 타격.,66,66,레이저,,,,,0도,,,,,,,,,TRUE
w_missile_arc_067,오메가 포인트 로켓탄 어뢰,rocket,1,1800,140,6,0,90,450,57,코스믹,단거리,Omega Point Torpedo,1d8+60,x3,9620000,우주의 열사병(Heat Death)을 국소적으로 유발해 모든 온기를 뺏음.,67,67,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_068,에테르 파편 미사일,missile,9,2400,261,1,0,420,220,59,코스믹,장거리,Ethereal Fragment Missile,1d6+58,x3,9534000,존재하지 않는 평면에서 날아와 적의 존재 자체를 논리적으로 부정.,68,68,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_069,보이드 스트라이크,missile,9,2400,263,1,0,420,220,60,코스믹,장거리,Void Strike,1d10+55,x3,12000000,타격 위치를 '무(無)'로 되돌려 우주 지도에서 좌표 자체를 지움.,69,69,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_070,엔트로피 종말 드론,drone,9,2200,210,1,0,420,218,60,코스믹,중거리,Entropy Doomsday Drone,2d4+50,x2,12000000,무지갯빛 입자들이 스쳐 지나가면 적 함선이 녹슨 고철로 변함.,70,70,드론,,,,,,,,,,,,,,TRUE
w_missile_arc_071,유니버스 함재기,carrier,10,2200,266,1,0,420,191,60,코스믹,장거리,Universe Core Star-Fighter,1d10+60,x3,12000000,각각의 기체가 하나의 소우주를 품고 있어 타격 시 차원 폭발 발생.,71,71,함재기,,,,,,,,,,,,,,TRUE
w_missile_arc_072,오리진 코어 로그,missile,9,2400,268,1,0,420,220,60,코스믹,장거리,Origin Core Log,1d4+60,19−20/x2,12000000,우주를 생성한 최초의 코드 문자열이 전장에 나타나 모든 것을 초기화.,72,72,미사일,,,,,,,,,,,,,,TRUE
w_laser_wave,레이저_웨이브,laser,46,280,166,1,0,0,5200,1,웨이브,중거리,Wave Laser,1d10+40,19−20/x2,1,웨이브 디펜스 테스트용 고출력 레이저.,,,레이저,,,,,0도,,,,,,,,,FALSE
w_missile_wave,미사일_웨이브,missile,63,3200,178,1,0,420,220,1,웨이브,중거리,Wave Missile,1d4+60,19−20/x2,1,웨이브 디펜스 테스트용 고출력 미사일.,,,미사일,,,,,,,,,,,,,,FALSE
w_laser_vmock_draco_v01,드라코 VMock 레이저 01,laser,3,2400,152,1,0,0,5200,1,테스트,중거리,Draco VMock Laser 01,1d4,19−20/x2,1820,모의전함01 전술A 슬롯1.,,,레이저,,,,,0도,,,,,,,,,FALSE
w_carrier_vmock_draco_v01,드라코 VMock 함재기 01,carrier,5,6800,195,1,0,520,68,1,테스트,중거리,Draco VMock Carrier 01,1d6,x3,2200,8자 선회 편대·모함 귀환.,,,함재기,,,,,,,,,,,,,,FALSE
w_laser_vmock_draco_v02,드라코 VMock 레이저 02,laser,3,2400,153,1,0,0,5200,1,테스트,중거리,Draco VMock Laser 02,1d4,19−20/x2,1820,모의전함02 전술B 슬롯1.,,,레이저,,,,,0도,,,,,,,,,FALSE
w_drone_vmock_draco_v02,드라코 VMock 드론 02,drone,4,7200,141,1,0,420,71,1,테스트,중거리,Draco VMock Drone 02,1d6,x2,2100,표적 주위 궤도 선회.,,,드론,,,,,,,,,,,,,,FALSE
w_laser_vmock_draco_v03,드라코 VMock 레이저 03,laser,3,2400,155,1,0,0,5200,1,테스트,중거리,Draco VMock Laser 03,1d4,19−20/x2,1820,모의전함03 전술A 슬롯1.,,,레이저,,,,,0도,,,,,,,,,FALSE
w_carrier_vmock_draco_v03,드라코 VMock 함재기 03,carrier,5,6800,195,1,0,520,68,1,테스트,중거리,Draco VMock Carrier 03,1d6,x3,2200,8자 선회 편대·모함 귀환.,,,함재기,,,,,,,,,,,,,,FALSE
w_laser_vmock_draco_v04,드라코 VMock 레이저 04,laser,3,2400,156,1,0,0,5200,1,테스트,중거리,Draco VMock Laser 04,1d4,19−20/x2,1820,모의전함04 전술B 슬롯1.,,,레이저,,,,,0도,,,,,,,,,FALSE
w_drone_vmock_draco_v04,드라코 VMock 드론 04,drone,4,7200,142,1,0,420,71,1,테스트,중거리,Draco VMock Drone 04,1d6,x2,2100,표적 주위 궤도 선회.,,,드론,,,,,,,,,,,,,,FALSE
w_laser_vmock_draco_v05,드라코 VMock 레이저 05,laser,3,2400,158,1,0,0,5200,1,테스트,중거리,Draco VMock Laser 05,1d4,19−20/x2,1820,모의전함05 전술A 슬롯1.,,,레이저,,,,,0도,,,,,,,,,FALSE
w_carrier_vmock_draco_v05,드라코 VMock 함재기 05,carrier,5,6800,195,1,0,520,68,1,테스트,중거리,Draco VMock Carrier 05,1d6,x3,2200,8자 선회 편대·모함 귀환.,,,함재기,,,,,,,,,,,,,,FALSE
w_laser_vmock_draco_v06,드라코 VMock 레이저 06,laser,3,2400,159,1,0,0,5200,1,테스트,중거리,Draco VMock Laser 06,1d4,19−20/x2,1820,모의전함06 전술B 슬롯1.,,,레이저,,,,,0도,,,,,,,,,FALSE
w_drone_vmock_draco_v06,드라코 VMock 드론 06,drone,4,7200,144,1,0,420,71,1,테스트,중거리,Draco VMock Drone 06,1d6,x2,2100,표적 주위 궤도 선회.,,,드론,,,,,,,,,,,,,,FALSE
