id,npcShipId,slotOrder,slotId,itemDefId,notesKo
Player_destroyer_mk2__ARMOR,Player_destroyer_mk2,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_destroyer_mk2__ENGINE,Player_destroyer_mk2,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_destroyer_mk2__SYSTEM,Player_destroyer_mk2,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_destroyer_mk2__EX_01,Player_destroyer_mk2,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_cruiser_mk1__ARMOR,Player_cruiser_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_cruiser_mk1__ENGINE,Player_cruiser_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_cruiser_mk1__SYSTEM,Player_cruiser_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_cruiser_mk1__EX_01,Player_cruiser_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_cruiser_mk2__ARMOR,Player_cruiser_mk2,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_cruiser_mk2__ENGINE,Player_cruiser_mk2,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_cruiser_mk2__SYSTEM,Player_cruiser_mk2,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_cruiser_mk2__EX_01,Player_cruiser_mk2,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_battlecruiser_mk1__ARMOR,Player_battlecruiser_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_battlecruiser_mk1__ENGINE,Player_battlecruiser_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_battlecruiser_mk1__SYSTEM,Player_battlecruiser_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_battlecruiser_mk1__EX_01,Player_battlecruiser_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_battlecruiser_apex__ARMOR,Player_battlecruiser_apex,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_battlecruiser_apex__ENGINE,Player_battlecruiser_apex,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_battlecruiser_apex__SYSTEM,Player_battlecruiser_apex,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_battlecruiser_apex__EX_01,Player_battlecruiser_apex,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_dreadnought_mk1__ARMOR,Player_dreadnought_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_dreadnought_mk1__ENGINE,Player_dreadnought_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_dreadnought_mk1__SYSTEM,Player_dreadnought_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_dreadnought_mk1__EX_01,Player_dreadnought_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_super_capital_mk1__ARMOR,Player_super_capital_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_super_capital_mk1__ENGINE,Player_super_capital_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_super_capital_mk1__SYSTEM,Player_super_capital_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_super_capital_mk1__EX_01,Player_super_capital_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_apex_legend_mk1__ARMOR,Player_apex_legend_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_apex_legend_mk1__ENGINE,Player_apex_legend_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_apex_legend_mk1__SYSTEM,Player_apex_legend_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_apex_legend_mk1__EX_01,Player_apex_legend_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
player_wave_ship__ARMOR,player_wave_ship,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
player_wave_ship__ENGINE,player_wave_ship,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
player_wave_ship__SYSTEM,player_wave_ship,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
player_wave_ship__EX_01,player_wave_ship,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_hunter_mk1__ARMOR,Player_hunter_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_hunter_mk1__ENGINE,Player_hunter_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_hunter_mk1__SYSTEM,Player_hunter_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_hunter_mk1__EX_01,Player_hunter_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_hunter_mk2__ARMOR,Player_hunter_mk2,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_hunter_mk2__ENGINE,Player_hunter_mk2,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_hunter_mk2__SYSTEM,Player_hunter_mk2,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_hunter_mk2__EX_01,Player_hunter_mk2,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk1__ARMOR,Player_shadow_cruiser_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk1__ENGINE,Player_shadow_cruiser_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk1__SYSTEM,Player_shadow_cruiser_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk1__EX_01,Player_shadow_cruiser_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk2__ARMOR,Player_shadow_cruiser_mk2,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk2__ENGINE,Player_shadow_cruiser_mk2,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk2__SYSTEM,Player_shadow_cruiser_mk2,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_shadow_cruiser_mk2__EX_01,Player_shadow_cruiser_mk2,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_raptor_bc_mk1__ARMOR,Player_raptor_bc_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_raptor_bc_mk1__ENGINE,Player_raptor_bc_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_raptor_bc_mk1__SYSTEM,Player_raptor_bc_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_raptor_bc_mk1__EX_01,Player_raptor_bc_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_raptor_bc_apex__ARMOR,Player_raptor_bc_apex,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_raptor_bc_apex__ENGINE,Player_raptor_bc_apex,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_raptor_bc_apex__SYSTEM,Player_raptor_bc_apex,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_raptor_bc_apex__EX_01,Player_raptor_bc_apex,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_phantom_dreadnought_mk1__ARMOR,Player_phantom_dreadnought_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_phantom_dreadnought_mk1__ENGINE,Player_phantom_dreadnought_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_phantom_dreadnought_mk1__SYSTEM,Player_phantom_dreadnought_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_phantom_dreadnought_mk1__EX_01,Player_phantom_dreadnought_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_phantom_super_capital_mk1__ARMOR,Player_phantom_super_capital_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_phantom_super_capital_mk1__ENGINE,Player_phantom_super_capital_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_phantom_super_capital_mk1__SYSTEM,Player_phantom_super_capital_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_phantom_super_capital_mk1__EX_01,Player_phantom_super_capital_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_phantom_apex_legend_mk1__ARMOR,Player_phantom_apex_legend_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_phantom_apex_legend_mk1__ENGINE,Player_phantom_apex_legend_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_phantom_apex_legend_mk1__SYSTEM,Player_phantom_apex_legend_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_phantom_apex_legend_mk1__EX_01,Player_phantom_apex_legend_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t1__ARMOR,npc_wave_invader_t1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t1__ENGINE,npc_wave_invader_t1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t1__SYSTEM,npc_wave_invader_t1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t1__EX_01,npc_wave_invader_t1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t2__ARMOR,npc_wave_invader_t2,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t2__ENGINE,npc_wave_invader_t2,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t2__SYSTEM,npc_wave_invader_t2,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t2__EX_01,npc_wave_invader_t2,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t3__ARMOR,npc_wave_invader_t3,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t3__ENGINE,npc_wave_invader_t3,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t3__SYSTEM,npc_wave_invader_t3,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t3__EX_01,npc_wave_invader_t3,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t4__ARMOR,npc_wave_invader_t4,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t4__ENGINE,npc_wave_invader_t4,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t4__SYSTEM,npc_wave_invader_t4,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t4__EX_01,npc_wave_invader_t4,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t5__ARMOR,npc_wave_invader_t5,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t5__ENGINE,npc_wave_invader_t5,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t5__SYSTEM,npc_wave_invader_t5,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t5__EX_01,npc_wave_invader_t5,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t6__ARMOR,npc_wave_invader_t6,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t6__ENGINE,npc_wave_invader_t6,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t6__SYSTEM,npc_wave_invader_t6,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t6__EX_01,npc_wave_invader_t6,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t7__ARMOR,npc_wave_invader_t7,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t7__ENGINE,npc_wave_invader_t7,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t7__SYSTEM,npc_wave_invader_t7,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t7__EX_01,npc_wave_invader_t7,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t8__ARMOR,npc_wave_invader_t8,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t8__ENGINE,npc_wave_invader_t8,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t8__SYSTEM,npc_wave_invader_t8,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t8__EX_01,npc_wave_invader_t8,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t9__ARMOR,npc_wave_invader_t9,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t9__ENGINE,npc_wave_invader_t9,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t9__SYSTEM,npc_wave_invader_t9,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t9__EX_01,npc_wave_invader_t9,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t10__ARMOR,npc_wave_invader_t10,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t10__ENGINE,npc_wave_invader_t10,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t10__SYSTEM,npc_wave_invader_t10,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t10__EX_01,npc_wave_invader_t10,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t11__ARMOR,npc_wave_invader_t11,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t11__ENGINE,npc_wave_invader_t11,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t11__SYSTEM,npc_wave_invader_t11,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t11__EX_01,npc_wave_invader_t11,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t12__ARMOR,npc_wave_invader_t12,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t12__ENGINE,npc_wave_invader_t12,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t12__SYSTEM,npc_wave_invader_t12,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t12__EX_01,npc_wave_invader_t12,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t13__ARMOR,npc_wave_invader_t13,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t13__ENGINE,npc_wave_invader_t13,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t13__SYSTEM,npc_wave_invader_t13,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t13__EX_01,npc_wave_invader_t13,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t14__ARMOR,npc_wave_invader_t14,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t14__ENGINE,npc_wave_invader_t14,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t14__SYSTEM,npc_wave_invader_t14,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t14__EX_01,npc_wave_invader_t14,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t15__ARMOR,npc_wave_invader_t15,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t15__ENGINE,npc_wave_invader_t15,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t15__SYSTEM,npc_wave_invader_t15,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t15__EX_01,npc_wave_invader_t15,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t16__ARMOR,npc_wave_invader_t16,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t16__ENGINE,npc_wave_invader_t16,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t16__SYSTEM,npc_wave_invader_t16,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t16__EX_01,npc_wave_invader_t16,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t17__ARMOR,npc_wave_invader_t17,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t17__ENGINE,npc_wave_invader_t17,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t17__SYSTEM,npc_wave_invader_t17,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t17__EX_01,npc_wave_invader_t17,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t18__ARMOR,npc_wave_invader_t18,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t18__ENGINE,npc_wave_invader_t18,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t18__SYSTEM,npc_wave_invader_t18,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t18__EX_01,npc_wave_invader_t18,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t19__ARMOR,npc_wave_invader_t19,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t19__ENGINE,npc_wave_invader_t19,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t19__SYSTEM,npc_wave_invader_t19,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t19__EX_01,npc_wave_invader_t19,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t20__ARMOR,npc_wave_invader_t20,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t20__ENGINE,npc_wave_invader_t20,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t20__SYSTEM,npc_wave_invader_t20,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t20__EX_01,npc_wave_invader_t20,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t21__ARMOR,npc_wave_invader_t21,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t21__ENGINE,npc_wave_invader_t21,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t21__SYSTEM,npc_wave_invader_t21,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t21__EX_01,npc_wave_invader_t21,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t22__ARMOR,npc_wave_invader_t22,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t22__ENGINE,npc_wave_invader_t22,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t22__SYSTEM,npc_wave_invader_t22,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t22__EX_01,npc_wave_invader_t22,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t23__ARMOR,npc_wave_invader_t23,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t23__ENGINE,npc_wave_invader_t23,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t23__SYSTEM,npc_wave_invader_t23,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t23__EX_01,npc_wave_invader_t23,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t24__ARMOR,npc_wave_invader_t24,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t24__ENGINE,npc_wave_invader_t24,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t24__SYSTEM,npc_wave_invader_t24,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t24__EX_01,npc_wave_invader_t24,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t25__ARMOR,npc_wave_invader_t25,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t25__ENGINE,npc_wave_invader_t25,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t25__SYSTEM,npc_wave_invader_t25,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t25__EX_01,npc_wave_invader_t25,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t26__ARMOR,npc_wave_invader_t26,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t26__ENGINE,npc_wave_invader_t26,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t26__SYSTEM,npc_wave_invader_t26,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t26__EX_01,npc_wave_invader_t26,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t27__ARMOR,npc_wave_invader_t27,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t27__ENGINE,npc_wave_invader_t27,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t27__SYSTEM,npc_wave_invader_t27,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
npc_wave_invader_t27__EX_01,npc_wave_invader_t27,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
npc_wave_invader_t28__ARMOR,npc_wave_invader_t28,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
npc_wave_invader_t28__ENGINE,npc_wave_invader_t28,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
npc_wave_invader_t28__SYSTEM,npc_wave_invader_t28,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
