id,displayName,triggerKey,triggerTargetId,triggerRepeat,maxLinesPerPage,completionPolicy,nextRoute,skippable,typewriterSpeedMs,fadeInEnabled,fadeInDurationMs,fadeOutEnabled,fadeOutDurationMs
npc_dialog_ai_clan_neutral_01,린 켄달 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_ai_clan_pvp_01,모라 섀이어 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_01,루안 베르 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_02,테오 반성 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_03,미카 소렌 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_04,조이 힐데 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_05,카이 네므 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_06,사라 올튼 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_07,데렉 훈 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_08,이안 크로프 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_09,노바 린 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_10,제이 파크 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_11,윤 하림 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_arc_pf_12,리스 베가 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_tavern_ret_01,한로 크레인 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_tavern_ret_02,미아 벨로 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_tavern_ret_03,타드 레인 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
npc_dialog_tavern_ret_04,세라 미온 임시 대화,manual,,repeat,4,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
mission_clear_default,미션 완료(범용),manual,,repeat,6,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
mission_clear_mission_001,첫 비행 완료,manual,,repeat,6,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
mission_clear_mission_002,해적 소탕 완료,manual,,repeat,6,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
mission_clear_mission_003,무역 루트 개척 완료,manual,,repeat,6,none,/(game)/planet,TRUE,80,FALSE,0,FALSE,0
