id,displayName,rank,factionId,aiAggression,aiRole,bioShort,operationalState,combatTeam,friendlyFactionIdsPipe,hostileFactionIdsPipe,basePlanetId,activityPlanetIdsPipe,baseSystemId,activitySystemIdsPipe,assignedShipId,initialLevel,initialExp,expCurveBase,expCurveLinear,expCurveQuadratic,aiClanLeader,aiClanName,aiClanZone,arcOrbitPresenceFill,mainStageTalkEnabled,mainStageTalkPriority,mainStageTalkSceneId,mainStageMissionTriggerId,mainStageEventTriggerId,tavernPlanetIdsPipe,orbitCargoFleetLane,portraitImageAssetKey
npc_cpt_vega_watch_01,하르만 돌,초계지휘관,border_watch,cautious,patrol,베가 전초 외곽 경계선을 순환 초계한다.,combat,blue,border_watch|federation,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_guard_1,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_watch_01,,,,,
npc_cpt_vega_watch_02,세린 코프,항로감독,border_watch,standard,escort,베가 보급 항로를 모니터링하고 민간선 호위를 담당한다.,combat,blue,border_watch|federation_military,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_guard_2,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_watch_02,,,,,
npc_cpt_solar_guard_01,이사 벤트,항만사령,federation,passive,garrison,솔라 항구 도킹 구역의 치안과 입출항 질서를 유지한다.,general,blue,federation|miners_guild,pirates|trade_coalition,solar_station,solar_station,solar_port,solar_port|arcadia,npc_solar_guard_1,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_solar_guard_01,,,,,
npc_cpt_solar_guard_02,토닉 레일,무역호위대장,federation_military,standard,escort,무역선단의 고가 화물을 호위하며 장거리 항로를 순환한다.,neutral,blue,federation|federation_military,pirates|trade_coalition,solar_station,solar_station,solar_port,solar_port|minerva,npc_solar_guard_2,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_solar_guard_02,,,,,
npc_cpt_vega_test_a,베가 보조대 알파,시험대장,federation_military,aggressive,hunter,베가 전초 보조 순항 초계.,general,blue,federation_military|federation,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost|arcadia,npc_vega_test_ship_a,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_test_a,,,,,
npc_cpt_vega_test_b,베가 보조대 브라보,시험대장,federation_military,cautious,hunter,베가 보급 항로 감시.,neutral,blue,federation|federation_military,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost|new_eden,npc_vega_test_ship_b,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_test_b,,,,,
npc_cpt_vega_red_04,베가 레드 04,돌격대장,pirates,aggressive,hunter,베가 전초기지 외곽 급습 편대.,general,blue,pirates,trade_coalition|federation|federation_military,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_4,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_04,,,,,
npc_cpt_vega_red_05,베가 레드 05,돌격대장,pirates,aggressive,hunter,베가 항로 차단 편대.,general,blue,pirates,trade_coalition|federation|federation_military,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_5,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_05,,,,,
npc_cpt_vega_red_06,베가 레드 06,공성지휘관,pirates,berserk,fleet_leader,베가 방어선 돌파 공성 편대.,general,blue,pirates|trade_coalition,federation|federation_military,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_6,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_06,,,,,
npc_cpt_vega_red_07,베가 레드 07,공성지휘관,pirates,aggressive,fleet_leader,베가 전초기지 압박 공세 편대.,general,blue,pirates|trade_coalition,federation|federation_military,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_7,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_07,,,,,
npc_cpt_vega_red_08,베가 레드 08,전투대장,pirates,aggressive,hunter,베가 궤도 요격 임무 편대.,general,blue,pirates,trade_coalition|federation,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_8,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_08,,,,,
npc_cpt_vega_red_09,베가 레드 09,전투대장,pirates,aggressive,hunter,베가 보급선 습격 편대.,general,blue,pirates,trade_coalition|federation,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_9,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_09,,,,,
npc_cpt_vega_red_10,베가 레드 10,선봉지휘관,pirates,berserk,hunter,베가 전초기지 근접 돌파 편대.,general,blue,pirates,trade_coalition|federation,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_10,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_10,,,,,
npc_cpt_vega_red_11,베가 레드 11,선봉지휘관,pirates,aggressive,hunter,베가 추가 돌파 편대.,general,blue,pirates|trade_coalition,federation|federation_military,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_11,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_11,,,,,
npc_cpt_vega_red_12,베가 레드 12,선봉지휘관,pirates,aggressive,hunter,베가 전초기지 증원 돌격 편대.,general,blue,pirates|trade_coalition,federation|federation_military,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_red_12,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_red_12,,,,,
npc_cpt_vega_blue_07,베가 블루 07,방어대장,border_watch,cautious,patrol,베가 외곽 방어 증원대.,combat,blue,border_watch|federation,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_blue_7,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_blue_07,,,,,
npc_cpt_vega_blue_08,베가 블루 08,방어대장,border_watch,standard,escort,베가 항로 호위 증원대.,combat,blue,border_watch|federation_military,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_blue_8,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_blue_08,,,,,
npc_cpt_vega_blue_09,베가 블루 09,순찰사령,federation_military,cautious,patrol,베가 고가치 구역 순찰대.,combat,blue,federation|federation_military,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_blue_9,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_blue_09,,,,,
npc_cpt_vega_blue_10,베가 블루 10,정찰사령,federation,cautious,hunter,베가 고속 정찰 증원대.,combat,blue,federation|border_watch,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_blue_10,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_blue_10,,,,,
npc_cpt_vega_blue_11,베가 블루 11,경계지휘관,independent,standard,patrol,베가 민간호위 연합 지원대.,combat,blue,independent|federation,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_vega_blue_11,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vega_blue_11,,,,,
npc_cpt_neweden_red_07,뉴에덴 레드 07,침투지휘관,pirates,aggressive,hunter,뉴에덴 암시장 외곽 침투 편대.,general,blue,pirates|trade_coalition,independent|federation,eden_city,eden_city,new_eden,new_eden,npc_neweden_red_7,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_neweden_red_07,,,,,
npc_cpt_neweden_blue_07,뉴에덴 블루 07,방어지휘관,independent,cautious,patrol,뉴에덴 중립 항로 방어 증원대.,combat,blue,independent|federation,pirates|trade_coalition,eden_city,eden_city,new_eden,new_eden,npc_neweden_blue_7,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_neweden_blue_07,,,,,
npc_cpt_arcadia_lane_01,엘렌 드 코르,관문순찰대장,federation,cautious,patrol,아르카디아 관문 궤도 상시 순찰.,general,blue,federation|federation_military,pirates|trade_coalition,arcadia_prime,arcadia_prime,arcadia,arcadia,npc_arcadia_orbit_1,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_arcadia_lane_01,,,,,
npc_cpt_arcadia_lane_02,마르크 세인,외곽초계,federation_military,standard,patrol,연방 외곽 항로와 접속 지점을 교차 감시한다.,general,blue,federation_military|federation,pirates|trade_coalition,arcadia_prime,arcadia_prime,arcadia,arcadia|vega_outpost,npc_arcadia_orbit_2,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_arcadia_lane_02,,,,,
npc_cpt_enemy_arcadia_01,카일 드레이,관문침입자,pirates,aggressive,hunter,아르카디아 관문 외곽을 급습하는 소규모 약탈 함장.,general,red,pirates,federation|federation_military|independent,arcadia_prime,arcadia_prime,arcadia,arcadia,npc_enemy_arcadia_01,1,0,80,35,12,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_arcadia_02,니나 포르,외곽차단장,pirates,standard,patrol,프라임 궤도 접근로에서 통행 함선을 요격한다.,general,red,pirates,federation|federation_military|independent,arcadia_prime,arcadia_prime,arcadia,arcadia,npc_enemy_arcadia_02,1,0,80,35,12,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_arcadia_03,토르 그레이,초계사냥꾼,pirates,cautious,hunter,관문 순찰 공백을 노려 보급선을 습격한다.,general,red,pirates,federation|federation_military|independent,arcadia_prime,arcadia_prime,arcadia,arcadia,npc_enemy_arcadia_03,1,0,80,35,12,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_solar_01,레나 보크,항구침입자,pirates,aggressive,hunter,솔라 항구 외곽 보급선을 노린 소규모 약탈 함장.,general,red,pirates,federation|federation_military|miners_guild,solar_station,solar_station,solar_port,solar_port,npc_enemy_solar_01,2,0,85,38,12,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_minerva_01,드록 한,광산습격자,pirates,standard,hunter,미네르바 광산 진입로에서 호송선을 습격한다.,general,red,pirates,federation|miners_guild|independent,minerva_deep,minerva_deep,minerva,minerva,npc_enemy_minerva_01,3,0,88,39,13,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_vega_01,자크 린,전초습격자,pirates,aggressive,hunter,베가 전초기지 외곽 순찰 공백을 노린 급습 함장.,combat,red,pirates,federation|federation_military|border_watch,vega_base,vega_base,vega_outpost,vega_outpost,npc_enemy_vega_01,4,0,90,40,13,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_eden_01,비토 산체즈,정비독 침투장,pirates,aggressive,hunter,뉴 에덴 정비 궤도 외곽에서 순양급 함선으로 습격한다.,general,red,pirates,independent|federation|trade_coalition,eden_city,eden_city,new_eden,new_eden,npc_enemy_eden_01,5,0,95,42,14,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_ai_clan_safe_01,아델린 루크,연방해군,federation,standard,garrison,솔라무역 방위연합 AI 클랜장 — 안전권 거점 함대.,general,blue,federation|miners_guild,pirates|trade_coalition,solar_station,solar_station,solar_port,solar_port,npc_ai_clan_safe_flagship,1,0,80,35,12,TRUE,솔라무역 방위연합,safe,FALSE,TRUE,5,npc_dialog_ai_clan_safe_01,,,,,
npc_cpt_ai_clan_neutral_01,린 켄달,중립무역대장,independent,standard,patrol,오메가 중립 회항단 AI 클랜장 — 중립권 허브 함대.,general,blue,independent|miners_guild,pirates|trade_coalition,omega_hub,omega_hub,omega_station,omega_station,npc_ai_clan_neutral_flagship,1,0,80,35,12,TRUE,오메가 중립 회항단,neutral,FALSE,TRUE,5,npc_dialog_ai_clan_neutral_01,,,,,
npc_cpt_ai_clan_pvp_01,모라 섀이어,해적제독,pirates,aggressive,fleet_leader,홍월 약탈 함대 AI 클랜장 — PvP권 거점 함대.,general,red,pirates,federation|federation_military|border_watch,nightfall_citadel,nightfall_citadel,nightfall,nightfall,npc_ai_clan_pvp_flagship,1,0,80,35,12,TRUE,홍월 약탈 함대,pvp,FALSE,TRUE,5,npc_dialog_ai_clan_pvp_01,,,,,
npc_cpt_arc_pf_01,루안 베르,선장,independent,passive,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_01,1,0,80,35,12,FALSE,,,TRUE,TRUE,1,npc_dialog_arc_pf_01,,,,arc_direct,
npc_cpt_arc_pf_02,테오 반성,선장,independent,cautious,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_02,1,0,80,35,12,FALSE,,,TRUE,TRUE,5,npc_dialog_arc_pf_02,,,,arc_direct,
npc_cpt_arc_pf_03,미카 소렌,선장,independent,passive,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_03,1,0,80,35,12,FALSE,,,TRUE,TRUE,5,npc_dialog_arc_pf_03,,,,arc_direct,
npc_cpt_arc_pf_04,조이 힐데,선장,independent,cautious,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_04,1,0,80,35,12,FALSE,,,TRUE,TRUE,5,npc_dialog_arc_pf_04,,,,arc_direct,
npc_cpt_arc_pf_05,카이 네므,선장,independent,passive,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_05,1,0,80,35,12,FALSE,,,TRUE,TRUE,5,npc_dialog_arc_pf_05,,,,arc_direct,
npc_cpt_arc_pf_06,사라 올튼,선장,independent,cautious,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_06,1,0,80,35,12,FALSE,,,TRUE,TRUE,5,npc_dialog_arc_pf_06,,,,arc_direct,
npc_cpt_arc_pf_07,데렉 훈,선장,independent,passive,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_07,1,0,80,35,12,FALSE,,,TRUE,TRUE,5,npc_dialog_arc_pf_07,,,,arc_direct,
npc_cpt_arc_pf_08,이안 크로프,선장,independent,cautious,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_08,1,0,80,35,12,FALSE,,,TRUE,TRUE,5,npc_dialog_arc_pf_08,,,,arc_direct,
npc_cpt_arc_pf_09,노바 린,선장,independent,passive,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_09,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_arc_pf_09,,,,arc_direct,
npc_cpt_arc_pf_10,제이 파크,선장,independent,cautious,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_10,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_arc_pf_10,,,,arc_direct,
npc_cpt_arc_pf_11,윤 하림,선장,independent,passive,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_11,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_arc_pf_11,,,,arc_direct,
npc_cpt_arc_pf_12,리스 베가,선장,independent,cautious,merchant_guard,민간 궤도 보충 라인 — 테이블 등록 전용.,general,none,independent,miners_guild,,,,,npc_arc_presence_ship_12,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_arc_pf_12,,,,arc_direct,
npc_cpt_enemy_iron_01,갈렌 브록,잔해약탈대장,scavengers,aggressive,hunter,아이언 크로스 레므난트 잔해권을 장악한 약탈 함장.,general,red,scavengers,federation|independent|border_watch,iron_remnant,iron_remnant,iron_cross,iron_cross,npc_enemy_iron_01,6,0,90,42,14,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_iron_02,베라 스톤,차단함장,scavengers,standard,patrol,고대 전장 항로에서 통행세를 강요한다.,general,red,scavengers,federation|independent|miners_guild,iron_remnant,iron_remnant,iron_cross,iron_cross,npc_enemy_iron_02,6,0,90,42,14,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_iron_03,코르 엔딕,잔해사냥꾼,scavengers,cautious,hunter,잔해 속에 숨어 접근 함선을 노리는 사냥꾼.,general,red,scavengers,federation|independent|border_watch,iron_remnant,iron_remnant,iron_cross,iron_cross,npc_enemy_iron_03,6,0,90,42,14,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_draco_01,라스 베일,성운약탈대장,void_walkers,aggressive,hunter,드라코 성운의 시야 교란을 이용해 급습한다.,combat,red,void_walkers,scientists|federation|independent,draco_haven,draco_haven,draco_nebula,draco_nebula,npc_enemy_draco_01,1,0,80,35,12,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_draco_02,니아 크룩스,성운잠행함장,void_walkers,cautious,patrol,성운 그늘에서 항로 신호를 끊어먹는다.,combat,red,void_walkers,scientists|federation|independent,draco_haven,draco_haven,draco_nebula,draco_nebula,npc_enemy_draco_02,2,0,88,38,12,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_draco_03,테온 모르,왜곡추격자,void_walkers,standard,hunter,드라코 외곽 연구선을 추적해 부품을 약탈한다.,combat,red,void_walkers,scientists|federation|independent,draco_haven,draco_haven,draco_nebula,draco_nebula,npc_enemy_draco_03,3,0,90,40,13,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_omega_01,자르 렉스,회항로 약탈자,pirates,aggressive,fleet_leader,오메가 교차항로의 약한 수송선을 골라 습격한다.,general,red,pirates,independent|federation|miners_guild,omega_hub,omega_hub,omega_station,omega_station,npc_enemy_omega_01,8,0,100,48,16,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_omega_02,밀라 콘,항로차단장,pirates,standard,patrol,오메가 스테이션 허브 외곽에 차단선을 펼친다.,general,red,pirates,independent|federation|miners_guild,omega_hub,omega_hub,omega_station,omega_station,npc_enemy_omega_02,8,0,100,48,16,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_omega_03,오스 델타,교차점 사냥꾼,pirates,cautious,hunter,오메가 항로 교차점에서 목표를 기다린다.,general,red,pirates,independent|federation|miners_guild,omega_hub,omega_hub,omega_station,omega_station,npc_enemy_omega_03,8,0,100,48,16,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_helios_01,바론 솔,태양권 강습장,energy_corp,aggressive,hunter,헬리오스 에너지 코어 주변에서 불법 강습을 벌인다.,general,red,energy_corp,federation|scientists|independent,helios_core,helios_core,helios,helios,npc_enemy_helios_01,9,0,105,52,17,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_helios_02,이리스 플레어,코일약탈함장,energy_corp,standard,patrol,태양권 코일 보급선을 노리는 함장.,general,red,energy_corp,federation|scientists|independent,helios_core,helios_core,helios,helios,npc_enemy_helios_02,9,0,105,52,17,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_helios_03,카른 루멘,광압추격자,energy_corp,cautious,hunter,항성광 간섭을 이용해 뒤따라붙는다.,general,red,energy_corp,federation|scientists|independent,helios_core,helios_core,helios,helios,npc_enemy_helios_03,9,0,105,52,17,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_sirius_01,드렉 칼로,변경 약탈장,pirates,aggressive,fleet_leader,시리우스 변경선을 넘나드는 무장 약탈대 지휘관.,general,red,pirates,border_watch|federation|independent,sirius_border,sirius_border,sirius,sirius,npc_enemy_sirius_01,10,0,110,55,18,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_sirius_02,렌 바스크,경계선 침투장,pirates,standard,hunter,변경 초소의 사각을 노려 침투한다.,general,red,pirates,border_watch|federation|independent,sirius_border,sirius_border,sirius,sirius,npc_enemy_sirius_02,10,0,110,55,18,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_sirius_03,샤라 밀,밀수호위대장,pirates,cautious,escort,밀수 선단을 호위하며 교전을 회피하지 않는다.,general,red,pirates,border_watch|federation|independent,sirius_border,sirius_border,sirius,sirius,npc_enemy_sirius_03,10,0,110,55,18,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_titan_01,오르 나딘,유적강탈장,archaeologists,aggressive,hunter,타이탄 게이트 유적 발굴선을 강탈하는 무장 함장.,general,red,archaeologists,independent|scientists|federation,titan_ruins,titan_ruins,titan_gate,titan_gate,npc_enemy_titan_01,10,0,110,55,18,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_titan_02,벨 토르,고대품 추적자,archaeologists,standard,patrol,유적 항로의 고대품 화물을 추적한다.,general,red,archaeologists,independent|scientists|federation,titan_ruins,titan_ruins,titan_gate,titan_gate,npc_enemy_titan_02,10,0,110,55,18,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_titan_03,렉스 하울,게이트 차단장,archaeologists,cautious,garrison,타이탄 게이트 주변 접근로를 봉쇄한다.,general,red,archaeologists,independent|scientists|federation,titan_ruins,titan_ruins,titan_gate,titan_gate,npc_enemy_titan_03,10,0,110,55,18,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_perseus_01,케인 발러,기념항로 약탈장,pirates,aggressive,hunter,페르세우스 추모 항로를 노리는 용병 함장.,general,red,pirates,veterans|federation|border_watch,perseus_memorial,perseus_memorial,perseus,perseus,npc_enemy_perseus_01,11,0,115,58,19,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_perseus_02,도라 네임,전장수집가,pirates,standard,patrol,옛 격전지 유품을 전리품으로 수집한다.,general,red,pirates,veterans|federation|border_watch,perseus_memorial,perseus_memorial,perseus,perseus,npc_enemy_perseus_02,11,0,115,58,19,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_perseus_03,마르 오닉스,용병요격장,pirates,cautious,hunter,페르세우스 외곽에서 계약 표적을 요격한다.,general,red,pirates,veterans|federation|border_watch,perseus_memorial,perseus_memorial,perseus,perseus,npc_enemy_perseus_03,11,0,115,58,19,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_crimson_01,로크 블러드,크림슨 전대장,pirates,berserk,fleet_leader,크림슨 구역의 첫 적색 전대를 이끈다.,general,red,pirates,federation|border_watch|independent,crimson_base,crimson_base,crimson_zone,crimson_zone,npc_enemy_crimson_01,15,0,130,70,24,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_crimson_02,세브 라우,피의 차단장,pirates,aggressive,hunter,크림슨 항로를 봉쇄하고 전리품을 챙긴다.,general,red,pirates,federation|border_watch|independent,crimson_base,crimson_base,crimson_zone,crimson_zone,npc_enemy_crimson_02,15,0,130,70,24,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_crimson_03,아크 네로,붉은 포식자,pirates,standard,hunter,크림슨 구역 베이스 외곽에서 약한 함선을 사냥한다.,general,red,pirates,federation|border_watch|independent,crimson_base,crimson_base,crimson_zone,crimson_zone,npc_enemy_crimson_03,15,0,130,70,24,FALSE,,,FALSE,FALSE,5,,,,,,
npc_cpt_enemy_dark_01,모르 벡스,리프트 군주,void_walkers,aggressive,fleet_leader,다크 리프트의 왜곡 항로를 장악했다.,general,red,void_walkers,federation|independent|scientists,dark_haven,dark_haven,dark_rift,dark_rift,npc_enemy_dark_01,17,0,140,78,27,FALSE,,,FALSE,FALSE,5,,,,,,
