questId,chapterId,questIndex,bindMissionId,contentStatus,questKind,isChapterCloser,titlePlaceholderKo,titlePlaceholderEn,notes
story_c02_q12,ms_ch_02,12,,skeleton,spine,0,[골격] 챕터2-12,[Skeleton] C2-Q12,
story_c02_q13,ms_ch_02,13,,skeleton,spine,0,[골격] 챕터2-13,[Skeleton] C2-Q13,
story_c02_q14,ms_ch_02,14,,skeleton,spine,0,[골격] 챕터2-14,[Skeleton] C2-Q14,
story_c02_q15,ms_ch_02,15,,skeleton,spine,0,[골격] 챕터2-15,[Skeleton] C2-Q15,
story_c02_q16,ms_ch_02,16,,skeleton,spine,0,[골격] 챕터2-16,[Skeleton] C2-Q16,
story_c02_q17,ms_ch_02,17,,skeleton,spine,0,[골격] 챕터2-17,[Skeleton] C2-Q17,
story_c02_q18,ms_ch_02,18,,skeleton,spine,0,[골격] 챕터2-18,[Skeleton] C2-Q18,
story_c02_q19,ms_ch_02,19,,skeleton,spine,0,[골격] 챕터2-19,[Skeleton] C2-Q19,
story_c02_q20,ms_ch_02,20,,skeleton,spine,0,[골격] 챕터2-20,[Skeleton] C2-Q20,
story_c02_q21,ms_ch_02,21,,skeleton,spine,0,[골격] 챕터2-21,[Skeleton] C2-Q21,
story_c02_q22,ms_ch_02,22,,skeleton,spine,0,[골격] 챕터2-22,[Skeleton] C2-Q22,
story_c02_q23,ms_ch_02,23,,skeleton,spine,0,[골격] 챕터2-23,[Skeleton] C2-Q23,
story_c02_q24,ms_ch_02,24,,skeleton,spine,0,[골격] 챕터2-24,[Skeleton] C2-Q24,
story_c02_q25,ms_ch_02,25,,skeleton,spine,0,[골격] 챕터2-25,[Skeleton] C2-Q25,
story_c02_q26,ms_ch_02,26,,skeleton,spine,0,[골격] 챕터2-26,[Skeleton] C2-Q26,
story_c02_q27,ms_ch_02,27,,skeleton,spine,0,[골격] 챕터2-27,[Skeleton] C2-Q27,
story_c02_q28,ms_ch_02,28,,skeleton,spine,0,[골격] 챕터2-28,[Skeleton] C2-Q28,
story_c02_q29,ms_ch_02,29,,skeleton,spine,0,[골격] 챕터2-29,[Skeleton] C2-Q29,
story_c02_q30,ms_ch_02,30,,skeleton,spine,1,[골격] 챕터2-30,[Skeleton] C2-Q30,챕터 엔딩 시네마틱 훅(endStoryReady=0이면 재생 없음)
story_c02_b01,ms_ch_02,101,,skeleton,branch,0,[분기 골격] 챕터2-B01,[Branch] C2-B01,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c02_b02,ms_ch_02,102,,skeleton,branch,0,[분기 골격] 챕터2-B02,[Branch] C2-B02,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c02_b03,ms_ch_02,103,,skeleton,branch,0,[분기 골격] 챕터2-B03,[Branch] C2-B03,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c02_b04,ms_ch_02,104,,skeleton,branch,0,[분기 골격] 챕터2-B04,[Branch] C2-B04,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c03_q01,ms_ch_03,1,,skeleton,spine,0,[골격] 챕터3-01,[Skeleton] C3-Q01,
story_c03_q02,ms_ch_03,2,,skeleton,spine,0,[골격] 챕터3-02,[Skeleton] C3-Q02,
story_c03_q03,ms_ch_03,3,,skeleton,spine,0,[골격] 챕터3-03,[Skeleton] C3-Q03,
story_c03_q04,ms_ch_03,4,,skeleton,spine,0,[골격] 챕터3-04,[Skeleton] C3-Q04,
story_c03_q05,ms_ch_03,5,,skeleton,spine,0,[골격] 챕터3-05,[Skeleton] C3-Q05,
story_c03_q06,ms_ch_03,6,,skeleton,spine,0,[골격] 챕터3-06,[Skeleton] C3-Q06,
story_c03_q07,ms_ch_03,7,,skeleton,spine,0,[골격] 챕터3-07,[Skeleton] C3-Q07,
story_c03_q08,ms_ch_03,8,,skeleton,spine,0,[골격] 챕터3-08,[Skeleton] C3-Q08,
story_c03_q09,ms_ch_03,9,,skeleton,spine,0,[골격] 챕터3-09,[Skeleton] C3-Q09,
story_c03_q10,ms_ch_03,10,,skeleton,spine,0,[골격] 챕터3-10,[Skeleton] C3-Q10,
story_c03_q11,ms_ch_03,11,,skeleton,spine,0,[골격] 챕터3-11,[Skeleton] C3-Q11,
story_c03_q12,ms_ch_03,12,,skeleton,spine,0,[골격] 챕터3-12,[Skeleton] C3-Q12,
story_c03_q13,ms_ch_03,13,,skeleton,spine,0,[골격] 챕터3-13,[Skeleton] C3-Q13,
story_c03_q14,ms_ch_03,14,,skeleton,spine,0,[골격] 챕터3-14,[Skeleton] C3-Q14,
story_c03_q15,ms_ch_03,15,,skeleton,spine,0,[골격] 챕터3-15,[Skeleton] C3-Q15,
story_c03_q16,ms_ch_03,16,,skeleton,spine,0,[골격] 챕터3-16,[Skeleton] C3-Q16,
story_c03_q17,ms_ch_03,17,,skeleton,spine,0,[골격] 챕터3-17,[Skeleton] C3-Q17,
story_c03_q18,ms_ch_03,18,,skeleton,spine,0,[골격] 챕터3-18,[Skeleton] C3-Q18,
story_c03_q19,ms_ch_03,19,,skeleton,spine,0,[골격] 챕터3-19,[Skeleton] C3-Q19,
story_c03_q20,ms_ch_03,20,,skeleton,spine,0,[골격] 챕터3-20,[Skeleton] C3-Q20,
story_c03_q21,ms_ch_03,21,,skeleton,spine,0,[골격] 챕터3-21,[Skeleton] C3-Q21,
story_c03_q22,ms_ch_03,22,,skeleton,spine,0,[골격] 챕터3-22,[Skeleton] C3-Q22,
story_c03_q23,ms_ch_03,23,,skeleton,spine,0,[골격] 챕터3-23,[Skeleton] C3-Q23,
story_c03_q24,ms_ch_03,24,,skeleton,spine,0,[골격] 챕터3-24,[Skeleton] C3-Q24,
story_c03_q25,ms_ch_03,25,,skeleton,spine,0,[골격] 챕터3-25,[Skeleton] C3-Q25,
story_c03_q26,ms_ch_03,26,,skeleton,spine,0,[골격] 챕터3-26,[Skeleton] C3-Q26,
story_c03_q27,ms_ch_03,27,,skeleton,spine,0,[골격] 챕터3-27,[Skeleton] C3-Q27,
story_c03_q28,ms_ch_03,28,,skeleton,spine,0,[골격] 챕터3-28,[Skeleton] C3-Q28,
story_c03_q29,ms_ch_03,29,,skeleton,spine,0,[골격] 챕터3-29,[Skeleton] C3-Q29,
story_c03_q30,ms_ch_03,30,,skeleton,spine,1,[골격] 챕터3-30,[Skeleton] C3-Q30,챕터 엔딩 시네마틱 훅(endStoryReady=0이면 재생 없음)
story_c03_b01,ms_ch_03,101,,skeleton,branch,0,[분기 골격] 챕터3-B01,[Branch] C3-B01,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c03_b02,ms_ch_03,102,,skeleton,branch,0,[분기 골격] 챕터3-B02,[Branch] C3-B02,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c03_b03,ms_ch_03,103,,skeleton,branch,0,[분기 골격] 챕터3-B03,[Branch] C3-B03,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c03_b04,ms_ch_03,104,,skeleton,branch,0,[분기 골격] 챕터3-B04,[Branch] C3-B04,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c04_q01,ms_ch_04,1,,skeleton,spine,0,[골격] 챕터4-01,[Skeleton] C4-Q01,
story_c04_q02,ms_ch_04,2,,skeleton,spine,0,[골격] 챕터4-02,[Skeleton] C4-Q02,
story_c04_q03,ms_ch_04,3,,skeleton,spine,0,[골격] 챕터4-03,[Skeleton] C4-Q03,
story_c04_q04,ms_ch_04,4,,skeleton,spine,0,[골격] 챕터4-04,[Skeleton] C4-Q04,
story_c04_q05,ms_ch_04,5,,skeleton,spine,0,[골격] 챕터4-05,[Skeleton] C4-Q05,
story_c04_q06,ms_ch_04,6,,skeleton,spine,0,[골격] 챕터4-06,[Skeleton] C4-Q06,
story_c04_q07,ms_ch_04,7,,skeleton,spine,0,[골격] 챕터4-07,[Skeleton] C4-Q07,
story_c04_q08,ms_ch_04,8,,skeleton,spine,0,[골격] 챕터4-08,[Skeleton] C4-Q08,
story_c04_q09,ms_ch_04,9,,skeleton,spine,0,[골격] 챕터4-09,[Skeleton] C4-Q09,
story_c04_q10,ms_ch_04,10,,skeleton,spine,0,[골격] 챕터4-10,[Skeleton] C4-Q10,
story_c04_q11,ms_ch_04,11,,skeleton,spine,0,[골격] 챕터4-11,[Skeleton] C4-Q11,
story_c04_q12,ms_ch_04,12,,skeleton,spine,0,[골격] 챕터4-12,[Skeleton] C4-Q12,
story_c04_q13,ms_ch_04,13,,skeleton,spine,0,[골격] 챕터4-13,[Skeleton] C4-Q13,
story_c04_q14,ms_ch_04,14,,skeleton,spine,0,[골격] 챕터4-14,[Skeleton] C4-Q14,
story_c04_q15,ms_ch_04,15,,skeleton,spine,0,[골격] 챕터4-15,[Skeleton] C4-Q15,
story_c04_q16,ms_ch_04,16,,skeleton,spine,0,[골격] 챕터4-16,[Skeleton] C4-Q16,
story_c04_q17,ms_ch_04,17,,skeleton,spine,0,[골격] 챕터4-17,[Skeleton] C4-Q17,
story_c04_q18,ms_ch_04,18,,skeleton,spine,0,[골격] 챕터4-18,[Skeleton] C4-Q18,
story_c04_q19,ms_ch_04,19,,skeleton,spine,0,[골격] 챕터4-19,[Skeleton] C4-Q19,
story_c04_q20,ms_ch_04,20,,skeleton,spine,0,[골격] 챕터4-20,[Skeleton] C4-Q20,
story_c04_q21,ms_ch_04,21,,skeleton,spine,0,[골격] 챕터4-21,[Skeleton] C4-Q21,
story_c04_q22,ms_ch_04,22,,skeleton,spine,0,[골격] 챕터4-22,[Skeleton] C4-Q22,
story_c04_q23,ms_ch_04,23,,skeleton,spine,0,[골격] 챕터4-23,[Skeleton] C4-Q23,
story_c04_q24,ms_ch_04,24,,skeleton,spine,0,[골격] 챕터4-24,[Skeleton] C4-Q24,
story_c04_q25,ms_ch_04,25,,skeleton,spine,0,[골격] 챕터4-25,[Skeleton] C4-Q25,
story_c04_q26,ms_ch_04,26,,skeleton,spine,0,[골격] 챕터4-26,[Skeleton] C4-Q26,
story_c04_q27,ms_ch_04,27,,skeleton,spine,0,[골격] 챕터4-27,[Skeleton] C4-Q27,
story_c04_q28,ms_ch_04,28,,skeleton,spine,0,[골격] 챕터4-28,[Skeleton] C4-Q28,
story_c04_q29,ms_ch_04,29,,skeleton,spine,0,[골격] 챕터4-29,[Skeleton] C4-Q29,
story_c04_q30,ms_ch_04,30,,skeleton,spine,1,[골격] 챕터4-30,[Skeleton] C4-Q30,챕터 엔딩 시네마틱 훅(endStoryReady=0이면 재생 없음)
story_c04_b01,ms_ch_04,101,,skeleton,branch,0,[분기 골격] 챕터4-B01,[Branch] C4-B01,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c04_b02,ms_ch_04,102,,skeleton,branch,0,[분기 골격] 챕터4-B02,[Branch] C4-B02,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c04_b03,ms_ch_04,103,,skeleton,branch,0,[분기 골격] 챕터4-B03,[Branch] C4-B03,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c04_b04,ms_ch_04,104,,skeleton,branch,0,[분기 골격] 챕터4-B04,[Branch] C4-B04,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c05_q01,ms_ch_05,1,,skeleton,spine,0,[골격] 챕터5-01,[Skeleton] C5-Q01,
story_c05_q02,ms_ch_05,2,,skeleton,spine,0,[골격] 챕터5-02,[Skeleton] C5-Q02,
story_c05_q03,ms_ch_05,3,,skeleton,spine,0,[골격] 챕터5-03,[Skeleton] C5-Q03,
story_c05_q04,ms_ch_05,4,,skeleton,spine,0,[골격] 챕터5-04,[Skeleton] C5-Q04,
story_c05_q05,ms_ch_05,5,,skeleton,spine,0,[골격] 챕터5-05,[Skeleton] C5-Q05,
story_c05_q06,ms_ch_05,6,,skeleton,spine,0,[골격] 챕터5-06,[Skeleton] C5-Q06,
story_c05_q07,ms_ch_05,7,,skeleton,spine,0,[골격] 챕터5-07,[Skeleton] C5-Q07,
story_c05_q08,ms_ch_05,8,,skeleton,spine,0,[골격] 챕터5-08,[Skeleton] C5-Q08,
story_c05_q09,ms_ch_05,9,,skeleton,spine,0,[골격] 챕터5-09,[Skeleton] C5-Q09,
story_c05_q10,ms_ch_05,10,,skeleton,spine,0,[골격] 챕터5-10,[Skeleton] C5-Q10,
story_c05_q11,ms_ch_05,11,,skeleton,spine,0,[골격] 챕터5-11,[Skeleton] C5-Q11,
story_c05_q12,ms_ch_05,12,,skeleton,spine,0,[골격] 챕터5-12,[Skeleton] C5-Q12,
story_c05_q13,ms_ch_05,13,,skeleton,spine,0,[골격] 챕터5-13,[Skeleton] C5-Q13,
story_c05_q14,ms_ch_05,14,,skeleton,spine,0,[골격] 챕터5-14,[Skeleton] C5-Q14,
story_c05_q15,ms_ch_05,15,,skeleton,spine,0,[골격] 챕터5-15,[Skeleton] C5-Q15,
story_c05_q16,ms_ch_05,16,,skeleton,spine,0,[골격] 챕터5-16,[Skeleton] C5-Q16,
story_c05_q17,ms_ch_05,17,,skeleton,spine,0,[골격] 챕터5-17,[Skeleton] C5-Q17,
story_c05_q18,ms_ch_05,18,,skeleton,spine,0,[골격] 챕터5-18,[Skeleton] C5-Q18,
story_c05_q19,ms_ch_05,19,,skeleton,spine,0,[골격] 챕터5-19,[Skeleton] C5-Q19,
story_c05_q20,ms_ch_05,20,,skeleton,spine,0,[골격] 챕터5-20,[Skeleton] C5-Q20,
story_c05_q21,ms_ch_05,21,,skeleton,spine,0,[골격] 챕터5-21,[Skeleton] C5-Q21,
story_c05_q22,ms_ch_05,22,,skeleton,spine,0,[골격] 챕터5-22,[Skeleton] C5-Q22,
story_c05_q23,ms_ch_05,23,,skeleton,spine,0,[골격] 챕터5-23,[Skeleton] C5-Q23,
story_c05_q24,ms_ch_05,24,,skeleton,spine,0,[골격] 챕터5-24,[Skeleton] C5-Q24,
story_c05_q25,ms_ch_05,25,,skeleton,spine,0,[골격] 챕터5-25,[Skeleton] C5-Q25,
story_c05_q26,ms_ch_05,26,,skeleton,spine,0,[골격] 챕터5-26,[Skeleton] C5-Q26,
story_c05_q27,ms_ch_05,27,,skeleton,spine,0,[골격] 챕터5-27,[Skeleton] C5-Q27,
story_c05_q28,ms_ch_05,28,,skeleton,spine,0,[골격] 챕터5-28,[Skeleton] C5-Q28,
story_c05_q29,ms_ch_05,29,,skeleton,spine,0,[골격] 챕터5-29,[Skeleton] C5-Q29,
story_c05_q30,ms_ch_05,30,,skeleton,spine,1,[골격] 챕터5-30,[Skeleton] C5-Q30,챕터 엔딩 시네마틱 훅(endStoryReady=0이면 재생 없음)
story_c05_b01,ms_ch_05,101,,skeleton,branch,0,[분기 골격] 챕터5-B01,[Branch] C5-B01,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c05_b02,ms_ch_05,102,,skeleton,branch,0,[분기 골격] 챕터5-B02,[Branch] C5-B02,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c05_b03,ms_ch_05,103,,skeleton,branch,0,[분기 골격] 챕터5-B03,[Branch] C5-B03,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c05_b04,ms_ch_05,104,,skeleton,branch,0,[분기 골격] 챕터5-B04,[Branch] C5-B04,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c06_q01,ms_ch_06,1,,skeleton,spine,0,[골격] 챕터6-01,[Skeleton] C6-Q01,
story_c06_q02,ms_ch_06,2,,skeleton,spine,0,[골격] 챕터6-02,[Skeleton] C6-Q02,
story_c06_q03,ms_ch_06,3,,skeleton,spine,0,[골격] 챕터6-03,[Skeleton] C6-Q03,
story_c06_q04,ms_ch_06,4,,skeleton,spine,0,[골격] 챕터6-04,[Skeleton] C6-Q04,
story_c06_q05,ms_ch_06,5,,skeleton,spine,0,[골격] 챕터6-05,[Skeleton] C6-Q05,
story_c06_q06,ms_ch_06,6,,skeleton,spine,0,[골격] 챕터6-06,[Skeleton] C6-Q06,
story_c06_q07,ms_ch_06,7,,skeleton,spine,0,[골격] 챕터6-07,[Skeleton] C6-Q07,
story_c06_q08,ms_ch_06,8,,skeleton,spine,0,[골격] 챕터6-08,[Skeleton] C6-Q08,
story_c06_q09,ms_ch_06,9,,skeleton,spine,0,[골격] 챕터6-09,[Skeleton] C6-Q09,
story_c06_q10,ms_ch_06,10,,skeleton,spine,0,[골격] 챕터6-10,[Skeleton] C6-Q10,
story_c06_q11,ms_ch_06,11,,skeleton,spine,0,[골격] 챕터6-11,[Skeleton] C6-Q11,
story_c06_q12,ms_ch_06,12,,skeleton,spine,0,[골격] 챕터6-12,[Skeleton] C6-Q12,
story_c06_q13,ms_ch_06,13,,skeleton,spine,0,[골격] 챕터6-13,[Skeleton] C6-Q13,
story_c06_q14,ms_ch_06,14,,skeleton,spine,0,[골격] 챕터6-14,[Skeleton] C6-Q14,
story_c06_q15,ms_ch_06,15,,skeleton,spine,0,[골격] 챕터6-15,[Skeleton] C6-Q15,
story_c06_q16,ms_ch_06,16,,skeleton,spine,0,[골격] 챕터6-16,[Skeleton] C6-Q16,
story_c06_q17,ms_ch_06,17,,skeleton,spine,0,[골격] 챕터6-17,[Skeleton] C6-Q17,
story_c06_q18,ms_ch_06,18,,skeleton,spine,0,[골격] 챕터6-18,[Skeleton] C6-Q18,
story_c06_q19,ms_ch_06,19,,skeleton,spine,0,[골격] 챕터6-19,[Skeleton] C6-Q19,
story_c06_q20,ms_ch_06,20,,skeleton,spine,0,[골격] 챕터6-20,[Skeleton] C6-Q20,
story_c06_q21,ms_ch_06,21,,skeleton,spine,0,[골격] 챕터6-21,[Skeleton] C6-Q21,
story_c06_q22,ms_ch_06,22,,skeleton,spine,0,[골격] 챕터6-22,[Skeleton] C6-Q22,
story_c06_q23,ms_ch_06,23,,skeleton,spine,0,[골격] 챕터6-23,[Skeleton] C6-Q23,
story_c06_q24,ms_ch_06,24,,skeleton,spine,0,[골격] 챕터6-24,[Skeleton] C6-Q24,
story_c06_q25,ms_ch_06,25,,skeleton,spine,0,[골격] 챕터6-25,[Skeleton] C6-Q25,
story_c06_q26,ms_ch_06,26,,skeleton,spine,0,[골격] 챕터6-26,[Skeleton] C6-Q26,
story_c06_q27,ms_ch_06,27,,skeleton,spine,0,[골격] 챕터6-27,[Skeleton] C6-Q27,
story_c06_q28,ms_ch_06,28,,skeleton,spine,0,[골격] 챕터6-28,[Skeleton] C6-Q28,
story_c06_q29,ms_ch_06,29,,skeleton,spine,0,[골격] 챕터6-29,[Skeleton] C6-Q29,
story_c06_q30,ms_ch_06,30,,skeleton,spine,1,[골격] 챕터6-30,[Skeleton] C6-Q30,챕터 엔딩 시네마틱 훅(endStoryReady=0이면 재생 없음)
story_c06_b01,ms_ch_06,101,,skeleton,branch,0,[분기 골격] 챕터6-B01,[Branch] C6-B01,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c06_b02,ms_ch_06,102,,skeleton,branch,0,[분기 골격] 챕터6-B02,[Branch] C6-B02,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c06_b03,ms_ch_06,103,,skeleton,branch,0,[분기 골격] 챕터6-B03,[Branch] C6-B03,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c06_b04,ms_ch_06,104,,skeleton,branch,0,[분기 골격] 챕터6-B04,[Branch] C6-B04,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c07_q01,ms_ch_07,1,,skeleton,spine,0,[골격] 챕터7-01,[Skeleton] C7-Q01,
story_c07_q02,ms_ch_07,2,,skeleton,spine,0,[골격] 챕터7-02,[Skeleton] C7-Q02,
story_c07_q03,ms_ch_07,3,,skeleton,spine,0,[골격] 챕터7-03,[Skeleton] C7-Q03,
story_c07_q04,ms_ch_07,4,,skeleton,spine,0,[골격] 챕터7-04,[Skeleton] C7-Q04,
story_c07_q05,ms_ch_07,5,,skeleton,spine,0,[골격] 챕터7-05,[Skeleton] C7-Q05,
story_c07_q06,ms_ch_07,6,,skeleton,spine,0,[골격] 챕터7-06,[Skeleton] C7-Q06,
story_c07_q07,ms_ch_07,7,,skeleton,spine,0,[골격] 챕터7-07,[Skeleton] C7-Q07,
story_c07_q08,ms_ch_07,8,,skeleton,spine,0,[골격] 챕터7-08,[Skeleton] C7-Q08,
story_c07_q09,ms_ch_07,9,,skeleton,spine,0,[골격] 챕터7-09,[Skeleton] C7-Q09,
story_c07_q10,ms_ch_07,10,,skeleton,spine,0,[골격] 챕터7-10,[Skeleton] C7-Q10,
story_c07_q11,ms_ch_07,11,,skeleton,spine,0,[골격] 챕터7-11,[Skeleton] C7-Q11,
story_c07_q12,ms_ch_07,12,,skeleton,spine,0,[골격] 챕터7-12,[Skeleton] C7-Q12,
story_c07_q13,ms_ch_07,13,,skeleton,spine,0,[골격] 챕터7-13,[Skeleton] C7-Q13,
story_c07_q14,ms_ch_07,14,,skeleton,spine,0,[골격] 챕터7-14,[Skeleton] C7-Q14,
story_c07_q15,ms_ch_07,15,,skeleton,spine,0,[골격] 챕터7-15,[Skeleton] C7-Q15,
story_c07_q16,ms_ch_07,16,,skeleton,spine,0,[골격] 챕터7-16,[Skeleton] C7-Q16,
story_c07_q17,ms_ch_07,17,,skeleton,spine,0,[골격] 챕터7-17,[Skeleton] C7-Q17,
story_c07_q18,ms_ch_07,18,,skeleton,spine,0,[골격] 챕터7-18,[Skeleton] C7-Q18,
story_c07_q19,ms_ch_07,19,,skeleton,spine,0,[골격] 챕터7-19,[Skeleton] C7-Q19,
story_c07_q20,ms_ch_07,20,,skeleton,spine,0,[골격] 챕터7-20,[Skeleton] C7-Q20,
story_c07_q21,ms_ch_07,21,,skeleton,spine,0,[골격] 챕터7-21,[Skeleton] C7-Q21,
story_c07_q22,ms_ch_07,22,,skeleton,spine,0,[골격] 챕터7-22,[Skeleton] C7-Q22,
story_c07_q23,ms_ch_07,23,,skeleton,spine,0,[골격] 챕터7-23,[Skeleton] C7-Q23,
story_c07_q24,ms_ch_07,24,,skeleton,spine,0,[골격] 챕터7-24,[Skeleton] C7-Q24,
