tables\balance\_audit\synth_planet_trade_route_audit.csv	≈33	=planetId,tradeFactionCode,tradeRegionCode,synthSystemId,zoneIndex,sectorBand,notesKo
tables\balance\arc_core_supply_envelope_policy.csv	≈2	=policyId,envelopeMinSystems,occupyHighWeightPct,envelopeBattleWeightBoostPct,envelopeNeutralDeclareMul,envelopeRebellionOverthrowMul,notesKo
tables\balance\arc_core_territorial_combat_policy.csv	≈7	=planetId,systemId,enabled,contestedZone,passIntervalSec,battleWeightPct,neutralDeclareWeightPct,statusQuoWeightPct,defenderAdvantagePct,combatNoisePct,combatMode,campaignGroup,campaignOrder,dominantSideWeightPct,supplyIsolatedPenaltyPct,supplyBonusPctPerNode,supplyBonusCapPct,alertLabelKo,notesKo
tables\balance\arc_core_territorial_fleet_composition.csv	≈28	=planetId,factionSide,shipAssetId,sortOrder,notesKo
tables\balance\arc_core_wealth_disparity_policy.csv	≈12	=key,value,notesKo
tables\balance\bm_economy_policy.csv	≈17	=key,value,notesKo
tables\balance\capital_hull_purchase_policy.csv	≈12	=hullTierKey,labelKo,labelEn,purchaseCredits,requiredPilotLevelMin,recommendedAfterZoneIndex,notesKo
tables\balance\capital_ship_class_master.csv	≈10	=shipClass,tierBand,labelKo,labelEn,roleSummaryKo,roleSummaryEn,sizeClassBase,affinityKind
tables\balance\capital_ship_combat_level_class.csv	≈8	=expRewardMin,expRewardMax,shipClass,tierBand,defaultLoadoutProfile
tables\balance\capital_ship_durability_policy.csv	≈2	=policyKey,wearMinPct,wearMaxPct,repairCostRatio,repairFloorCredits
tables\balance\capital_ship_hull_tier_mapping.csv	≈12	=hullTierKey,shipClass,tierBand,variantGrade
tables\balance\capital_ship_instance_class.csv	≈24	=npcShipId,shipClass,tierBand,loadoutProfile,roleOverrideKo
tables\balance\capital_ship_loadout_profile.csv	≈6	=loadoutProfile,labelKo,labelEn,combatRangeKo,combatRangeEn,descriptionKo
tables\balance\capital_ship_max_upgrade_value.csv	≈225	=# GENERATED by tools/ship-upgrade-value/run-ship-upgrade-value.ts — 직접 편집 금지. 풀강(15강·9스탯) 전함 스펙·가치 추산. 광물투자=204720cr (ore_ferrite:10200 ore_silicate:6480 ore_crystal:480). 전투/경제 밸런스 참고용.
tables\balance\capital_ship_trade_listing_policy.csv	≈14	=tradeGradeRank,tradeGradeKey,hullTierKey,canonicalNpcShipId,alternateNpcShipId,listingAnchor,notesKo
tables\balance\capital_ship_trade_price_policy.csv	≈11	=key,value,notesKo
tables\balance\capital_ship_wave_tier_class.csv	≈5	=waveTierMin,waveTierMax,shipClass,tierBand,defaultLoadoutProfile
tables\balance\captain_tactic_assignment.csv	≈2	=captainId,tacticId,notesKo
tables\balance\captain_tactic_doctrine.csv	≈7	=tacticId,chaseClosing,chaseMissilePattern,chaseReposition,chaseBrawl,pressChaseFloor,kiteChaseCap,preEngageChaseCap,stallBoostPressFloor,stallBoostKiteCap,pressRingOffsetPx,kiteRingOffsetPx,targetPriority,formationType,formationCohesion,formationSpacingPx,tempoWinBiasPct,tacticLabelKo,notesKo
tables\balance\clan_map_faction_color_policy.csv	≈12	=matchType,matchValue,displayColorHex,priority,notesKo
tables\balance\contested_zone_stat_aftermath.csv	≈3	=planetId,offsetResource,offsetPopulation,offsetDefense,offsetTechnology,offsetEnvironment,notesKo
tables\balance\dynamic_overlay.csv	≈7	=key,multiplier,source,updatedAt
tables\balance\economy_price_micro_policy.csv	≈10	=key,value,notesKo
tables\balance\economy_sim_macro_policy.csv	≈14	=key,value,notesKo
tables\balance\economy_trade_mineral_sink_policy.csv	≈3	=itemType,mineralItemId,qtyPerUnit,notesKo
tables\balance\facility_install_prerequisites.csv	≈6	=facility_type,requiredFacilityType,requiredFacilityLevel,requiredCombatWins,installDurationSec,notesKo
tables\balance\facility_laboratory_level_policy.csv	≈12	=level,displayNameKr,labRdSpeedReductionPct,labEquipmentTierUnlock,labEnvRegenPctDaily,labSpyDetectBonusPct,labAntiTerrorMitigationPct,labDroneInterceptBonusPct,upgradeDurationSec,installCostCredits,upgradeCostCredits,instantUpgradeCostCredits,requiredPlayerLevelMin,requiredStatType,requiredStatValue,notesKo
tables\balance\facility_shipyard_level_policy.csv	≈12	=level,displayNameKr,cumulativeHullTierKeys,mineralUpgradeCap,buildSpeedBonusPct,upgradeDurationSec,installCostCredits,upgradeCostCredits,instantUpgradeCostCredits,requiredPlayerLevelMin,notesKo
tables\balance\facility_tavern_level_policy.csv	≈12	=level,displayNameKr,tavernBountySlots,tavernReputationBonusPct,tavernMercTierUnlock,tavernRefreshIntervalHours,upgradeDurationSec,installCostCredits,upgradeCostCredits,instantUpgradeCostCredits,requiredPlayerLevelMin,requiredStatType,requiredStatValue,notesKo
tables\balance\facility_trade_port_level_policy.csv	≈12	=level,displayNameKr,highGradeWeaponWeightBonus,tradeFeeRatePct,stockLimit,supplyStockScale,upgradeDurationSec,installCostCredits,upgradeCostCredits,instantUpgradeCostCredits,requiredPlayerLevelMin,requiredStatType,requiredStatValue,notesKo
tables\balance\facility_upgrade_duration_facility_mod.csv	≈4	=facility_type,install_duration_sec,upgrade_duration_mul,instant_complete_mul,notesKo
tables\balance\facility_upgrade_duration_global.csv	≈10	=key,value_num,value_str,notesKo
tables\balance\facility_upgrade_duration_steps.csv	≈5	=duration_tier,target_level,base_duration_sec,enabled,notesKo
tables\balance\facility_upgrade_instant_complete_tier.csv	≈17	=duration_tier,target_level,per_hour_multiplier,min_credits,notesKo
tables\balance\facility_upgrade_levels.csv	≈76	=facility_type,level,display_name_kr,stat_r_nudge_daily,stat_p_nudge_daily,stat_d_nudge_daily,stat_t_nudge_daily,stat_e_nudge_daily,tdi_contribution_formula,notesKo
tables\balance\faction_political_relations.csv	≈4	=factionA,factionB,relation,allySupplyEnabled,notesKo
tables\balance\galaxy_transit_fuel_policy.csv	≈9	=key,value,notesKo
tables\balance\galaxy_transit_hull_fuel_mul.csv	≈7	=hullTierKey,fuelCostMul,notesKo
tables\balance\gem_exchange_catalog.csv	≈5	=productId,gemCost,creditAmount,rateBonusPct,badgeKey,notesKo
tables\balance\gem_pack_catalog.csv	≈7	=productId,iapPriceKey,gemAmount,bonusPct,badgeKey,visual,notesKo
tables\balance\gem_spend_catalog.csv	≈6	=itemId,stage,labelKo,gemCost,creditEquivalent,notesKo
tables\balance\hostile_enemy_weapon_loadout_policy.csv	≈12	=key,value,notesKo
tables\balance\item_durability_wear_policy.csv	≈2	=itemDefId,wearCenterPct,wearVariancePct
tables\balance\level_band_targets.csv	≈5	=bandId,minLevel,maxLevel,targetMinutesPerLevel,targetCreditsPerHour,targetCombatPowerTier,dwellAlertRatio
tables\balance\mining_drop_weight_policy.csv	≈7	=zoneIndexMin,zoneIndexMax,primaryWeightPct,secondaryShareMode,notesKo
tables\balance\mining_mineral_catalog.csv	≈10	=mineralIndex,mineralId,displayNameKo,tierRank,sellPriceAnchorCr,poolWeight,notesKo
tables\balance\mining_mineral_zone_tier.csv	≈3	=zoneIndexMin,zoneIndexMax,allowedMineralIdsPipe,primaryMineralId,notesKo
tables\balance\mining_sell_price_policy.csv	≈11	=zoneIndexMin,zoneIndexMax,mineralId,sellPriceCredits,notesKo
tables\balance\mining_zone_mineral_pool.csv	≈9	=zoneIndexMin,zoneIndexMax,mineralIndexMin,mineralIndexMax,notesKo
tables\balance\planet_attack_core_damage.csv	≈4	=attack_kind,resource_delta,population_delta,defense_delta,technology_delta,environment_delta,daily_event_cap,enabled,impact_scale,defense_impact_scale,population_impact_scale,technology_impact_scale,notesKo
tables\balance\planet_core_gauge_composition_policy.csv	≈5	=key,value,notesKo
tables\balance\planet_core_stat_authority.csv	≈4	=context_key,master_balance_gauge,energy_r_blend,equilibrium_dev,economy_decay,npc_economy_decay_mul,environment_diversity,notesKo
tables\balance\planet_core_stat_equilibrium_policy.csv	≈17	=key,value,notesKo
tables\balance\planet_defense_satellite_instance_level.csv	≈3	=instanceKey,defaultLevel,notesKo
tables\balance\planet_defense_satellite_level_policy.csv	≈10	=level,hpMax,defenseZoneDiameterPx,interceptHitPct,interceptDwellSec,upgradeDurationSec,installCostCredits,upgradeCostCredits,instantUpgradeCostCredits,grantsSecondSatellite,interceptMissileCount,dailyUpkeepCredits,notesKo
tables\balance\planet_defense_satellite_policy.csv	≈9	=key,value,notesKo
tables\balance\planet_development_aggregate_policy.csv	≈15	=key,value,notesKo
tables\balance\planet_development_catalog.csv	≈14	=id,labelKo,summaryKo,enabled,detailModuleKey,installCostCredits,notesKo
tables\balance\planet_hostile_red_progression.csv	≈22	=progressionOrder,planetId,systemId,zoneIndex,hostileShipCount,targetCombatLevel,requiredFleetMinDps,enemyAffinityKind,targetEngageSec,mainStageCombatEnabled,mainStageCombatVariant
tables\balance\planet_info_panel_stage.csv	≈13	=planetId,stageTier,synthPhaseMin,devModulesMin,descriptionKo,descriptionEn,infoPanelPortraitAssetKey,backdropImageAssetKey,notesKo
tables\balance\planet_leveling_progression.csv	≈21	=zoneIndex,recommendedPilotLevel,proficiencyMultiplier,operatingEfficiencyPct,combatsInZone,combatMinutesTotal,targetCreditsEarned,requiredFleetMinDps,enemyAffinityKind,recommendedHullTierKey,recommendedWeaponTierKey,mineralUpgradeCapAtZone,sectorBand,notesKo
tables\balance\planet_master_balance_early_zone_policy.csv	≈2	=policyKey,earlyZoneMaxIndex,baselineBlendBase,baselineBlendPerZoneStep,tradeHubBlendBonus,maxDeltaEarlyZone,maxDeltaDefault,gaugeFloorPctEarly,notesKo
tables\balance\planet_mineral_ledger_policy.csv	≈8	=key,value,notesKo
tables\balance\planet_occupation_seeds.csv	≈13	=planetId,systemId,initialOwner,occupationCombatEnabled,contestedZone,alertLabelKo
tables\balance\planet_ownership_deed_policy.csv	≈20	=key,value,notesKo
tables\balance\planet_rebellion_resolution.csv	≈7	=key,value,notesKo
tables\balance\planet_resource_ecosystem_policy.csv	≈10	=key,value,notesKo
tables\balance\planet_resource_genesis.csv	≈101	=planetId,genesisResourcePct,genesisPopulationPct,genesisDefensePct,genesisTechnologyPct,genesisEnvironmentPct,depositWeightMul,notesKo
tables\balance\planet_trade_route_profile.csv	≈16	=planetId,tradeFactionCode,tradeRegionCode,notesKo
tables\balance\play_scenario_economy.csv	≈7	=zoneIndex,growthStageKo,targetItemKo,requiredCredits,mineralQtyTotal,pureMiningMinutes,bountyHuntMinutes,playerFeedbackKo
tables\balance\play_scenario_zone_planets.csv	≈22	=zoneIndex,primaryPlanetId,systemId,planetLabelKo,scenarioLocationKo,hostileShipCount,targetCombatLevel,requiredFleetMinDps,enemyAffinityKind,targetEngageSec,mainStageCombatEnabled,mainStageCombatVariant
tables\balance\population_dome_wdi_stability.csv	≈16	=level,wdi_reduction_per_day,notesKo
tables\balance\reward_tier_bru_policy.csv	≈9	=tierId,tierLabelKo,activityGrade,riskTier,gradeMultEffective,overheadDefault,failRateDefault,failLossCoeff,target10minGMin,target10minGMax,pointEstimate10minG,notesKo
tables\balance\synth_colonization_phase_policy.csv	≈5	=phaseIndex,hasTavern,hasTradePort,hasShipyard,useQuadrantFaction,seedTransport,notesKo
tables\balance\synth_system_colonization.csv	≈80	=synthSystemId,synthOrdinal,systemNameKo,planetNameKo,systemDescriptionKo,planetDescriptionKo,tradeProfile,hostileShipCount,targetCombatLevel,zoneIndex,enemyAffinityKind,hasTradePort,hasShipyard,hasTavern,systemNameEn,planetNameEn,systemDescriptionEn,planetDescriptionEn
tables\balance\trade_port_equipment_tier_policy.csv	≈5	=tierKey,tierRank,maxEquipmentRequiredLevel,maxEquipmentGrade,equipmentCategoryFilter,notesKo
tables\balance\trade_port_global_items.csv	≈2	=itemId,notesKo
tables\balance\trade_port_sector_commodity_policy.csv	≈5	=sectorBand,commodityItemIdsPipe,notesKo
tables\balance\trade_port_weapon_tier_policy.csv	≈16	=tierKey,tierRank,maxWeaponRequiredLevel,weaponFamilyKindFilter,notesKo
tables\balance\trade_route_daily_market_policy.csv	≈11	=key,value,notesKo
tables\balance\trade_route_distribution_policy.csv	≈9	=key,value,notesKo
tables\balance\trade_route_economy_policy.csv	≈12	=key,value,notesKo
tables\balance\trade_route_planet_supply_assignments.csv	≈101	=tgId,supplyPlanetId,demandPlanetId,rarityTier,minSupplyZoneIndex,notesKo
tables\balance\trade_route_transport_policy.csv	≈14	=key,value,notesKo
tables\balance\vip_tier_policy.csv	≈4	=productId,iapPriceKey,tier,dailyGemGrant,durationDays,badgeKey,notesKo
tables\balance\weapon_affinity_matrix.csv	≈22	=weaponKind,targetAffinityKind,damageMultiplier,notesKo
tables\balance\weapon_combat_reference_policy.csv	≈15	=key,value,notesKo
tables\balance\weapon_family_runtime_policy.csv	≈6	=familyKind,trajectoryMode,impactMode,hitFxKind,projectileRenderKind,implementationStatus,notesKo
tables\balance\weapon_family_ttk_balance_policy.csv	≈5	=familyKind,targetDpsVsLaser,cycleTimeScale,minCooldownMs,maxCooldownMs,notesKo
tables\balance\weapon_laser_tier_color_policy.csv	≈9	=minRequiredLevel,maxRequiredLevel,beamCoreColor,beamGlowColor,glowWidthMul,tierLabelKo
tables\balance\weapon_rocket_burst_policy.csv	≈2	=familyKind,dispersionRadiusMulOfRange,dispersionRadiusMinPx,dispersionRadiusMaxPx,hitRadiusMulOfDispersion,missOvershootMinPx,missOvershootMaxPx,salvoIntervalFloorMs,muzzleLateralOffsetPx,muzzleForwardOffsetPx,notesKo
tables\balance\weapon_special_combat_balance_policy.csv	≈2	=weaponId,excludeFromTtkRebalance,pricingAoeHullFraction,pricingAoeTargetCount,pricingAoeBlendWeight,minPurchasePriceCredits,notesKo
tables\balance\weapon_trade_base_price_policy.csv	≈23	=key,value,notesKo
tables\balance\weapon_trade_listing_policy.csv	≈37	=tradeGradeRank,canonicalWeaponId,weaponFamilyKind,requiredPilotLevelMin,listingAnchor,notesKo
tables\balance\world_expansion_timing_policy.csv	≈2	=minUnlockIntervalDays,maxUnlockIntervalDays,legacySynthColonizationCount,globalScheduleEnabled,epochDayKey,timeZone,resetGeneration,systemsPerDay
tables\content\ai_clan_registry.csv	≈11	=clanId,displayNameKo,displayNameEn,zoneAffinity,megaFactionId,leaderCaptainId,territoryHubZone,notesKo
tables\content\arc_core_pantheon_relics.csv	≈13	=relicItemId,nodeId,godId,godNameKo,loreBodyKo,dropWeight,allowedPlanetPool,revealLevelDefault
tables\content\arc_core_world_nodes.csv	≈8	=nodeId,role,godNameKo,godNameEn,godId,subCoreId,planetId,systemId,mapVisibleWhileLocked,notesKo
tables\content\audio_tracks.csv	≈16	=id,kind,assetKey,loop,defaultVolumePct,maxConcurrent,memoryTier,notesKo
tables\content\enemy_templates.csv	≈5	=id,name,level,hp,shield,armor,attackBonus,damageDiceCount,damageDiceSides,damageDiceBonus,expReward,creditReward
tables\content\item_defs.csv	≈288	=id,name,description,?뱀쭠?ㅻ챸,basePrice,priceVariance,volume,category,kind,type,tradeable,cargoHoldable,capitalShipMountable,nonRepurchase,tagsPipe,attrsJson,sellable,name_en,description_en,featureDescription_en
tables\content\mineral_region_members.csv	≈101	=regionId,planetId,notesKo
tables\content\mineral_regions.csv	≈3	=id,displayName,clusterShareOfGalaxy,notes
tables\content\mineral_upgrade_cost_lines.csv	≈22	=statId,oreId,qtyPerTargetLevel,sortOrder
tables\content\mineral_upgrade_level_caps.csv	≈5	=combatLevelMaxInclusive,maxUpgradeLevel
tables\content\mineral_upgrade_ore_pools.csv	≈4	=oreId,poolKind,sortOrder
tables\content\mineral_upgrade_stats.csv	≈10	=statId,label,upgradeGroup,sortOrder,perLevelHint,effectKind,effectValuePerLevel,effectFloor
tables\content\mission_combat_captains.csv	≈18	=id,enemyTemplateId,planetId,captainId,priority
tables\content\mission_objectives.csv	≈82	=missionId,id,description,type,targetId,quantity,description_en
tables\content\mission_prerequisites.csv	≈3	=missionId,prerequisiteMissionId
tables\content\mission_quest_combat_ops.csv	≈25	=id,objectiveId,encounterPolicy,anchorPlanetId,notesKo
tables\content\mission_quest_placements.csv	≈17	=id,objectiveId,planetId,itemId,stockQty,unitPriceOverride,questTag,notesKo
tables\content\mission_reward_items.csv	≈1	=missionId,itemId
tables\content\missions.csv	≈61	=id,title,description,type,offerCaptainId,offerPlanetId,levelRequired,rewardCredits,rewardExp,rewardItemsPipe,rewardSkillPointBonus,prerequisiteIdsPipe,nextMissionId,dc,clearDialogSceneId,title_en,description_en
tables\content\npc_ai_captains.csv	≈248	=id,displayName,displayNameEn,rank,factionId,aiAggression,aiRole,bioShort,operationalState,combatTeam,friendlyFactionIdsPipe,hostileFactionIdsPipe,basePlanetId,activityPlanetIdsPipe,baseSystemId,activitySystemIdsPipe,assignedShipId,initialLevel,initialExp,expCurveBase,expCurveLinear,expCurveQuadratic,aiClanLeader,aiClanName,aiClanZone,aiClanId,aiClanRole,arcOrbitPresenceFill,mainStageTalkEnabled,mainStageTalkPriority,mainStageTalkSceneId,mainStageMissionTriggerId,mainStageEventTriggerId,tavernPlanetIdsPipe,orbitCargoFleetLane,portraitImageAssetKey
tables\content\npc_ai_ships.csv	≈294	=npcMode,id,name,?뱀쭠?ㅻ챸,hullTypeId,captainId,homeSystemId,maxHp,maxShield,armor,attackBonus,damageDiceCount,damageDiceSides,damageDiceBonus,maxMoveSpeedPxPerMs,accelPxPerMs2,maxTurnRateRadPerMs,turnAccelRadPerMs2,detectRangeScale,laserCooldownJitterMinMs,laserCooldownJitterMaxMs,missileCooldownJitterMinMs,missileCooldownJitterMaxMs,salvoStepMinMs,salvoStepMaxMs,engageStartDelayMinMs,engageStartDelayMaxMs,laserWeaponId,missileWeaponId,closeRangeWeaponId,auxWeaponId,infoLineSuffix,arcTrafficDwellRadPerSec,arcTrafficPhaseDurationMul,arcTrafficPlanetDwellSecMin,arcTrafficPlanetDwellSecMax,portraitImageAssetKey,topViewImageAssetKey,tradePortListed,strStat,dexStat,sizeClass,expReward,combatLevel,size,proficiencyMultiplier,capitalShipArchetype,name_en
tables\content\npc_capital_ship_equip_slots.csv	≈2	=id,npcShipId,slotOrder,slotId,itemDefId,notesKo
tables\content\planet_governor_commanders.csv	≈19	=planetId,systemId,occupationSide,ownershipTier,governorCaptainId,governorTitleKo,hostileToPlayerBlue,talkEnabled,talkPriority,dialogSceneId,instanceMissionTag,hostileEntryCombatEnabled,notesKo
tables\content\planet_governor_reserve_commanders.csv	≈46	=captainId,occupationSide,rankKo,governorTitleKo,dialogSceneId,assignedShipId,reserveOrder,enabled,notesKo,combatTacticsGrade
tables\content\planets.csv	≈22	=systemId,systemName,systemPosX,systemPosY,systemZone,systemConnectionsPipe,systemEnemyLevel,systemDescription,id,name,description,hasTradePort,hasShipyard,hasTavern,tradeGoodsPipe,factionId,coreResource,corePopulation,coreDefense,coreTechnology,coreEnvironment,backdropImageAssetKey,infoPanelPortraitAssetKey,mainStageSkiaNebulaLayer,mainStageBackdropImageLayer,systemNameEn,systemDescriptionEn,nameEn,descriptionEn
tables\content\player_level_exp.csv	≈61	=level,currentExp,nextLevelExp
tables\content\player_professions.csv	≈4	=id,sortOrder,nameKo,nameEn,labelKo,labelEn,gender,summaryKo,summaryEn,personalityKo,personalityEn,traitIdsPipe,portraitImageAssetKey,combatArchetype,statWisdom,statCharisma
tables\content\skills.csv	≈38	=id,name,description,category,tier,prerequisiteIdsPipe,levelRequired,effectType,effectStat,effectValue,effectDescription,icon
tables\content\stage_audio_profiles.csv	≈14	=stageRouteName,bgmTrackId,preloadTrackIdsPipe,sfxTrackIdsPipe,notesKo
tables\content\star_system_connections.csv	≈65	=systemId,connectedSystemId
tables\content\story_scene_pages.csv	≈128	=sceneId,pageIndex,label,text,imageAssetKey,speakerNpcCaptainId,viewMode,textBoxPreset,imageScalePct,text_en,label_en
tables\content\story_scenes.csv	≈87	=id,displayName,triggerKey,triggerTargetId,triggerRepeat,maxLinesPerPage,completionPolicy,nextRoute,skippable,typewriterSpeedMs,fadeInEnabled,fadeInDurationMs,fadeOutEnabled,fadeOutDurationMs
tables\content\weapon_list.csv	≈104	=id,?대쫫,醫낅쪟,?誘몄?,?ъ옣?꼖s,?ш굅由촳x,?곕컻??鍮꾩쑀?꾩뿰諛??곕컻媛꾧꺽ms,?꾩냽px珥??붽뎄?덈꺼,?깃툒?쇰꺼,臾닿린遺꾨쪟,?곷Ц紐?二쇱궗??移섎챸?ш굅由?援щℓ媛,?뱀쭠?ㅻ챸,異쒖쿂??援ы쁽?꾩씠??湲곕뒫援щ텇,怨듭냽,諛쒖궗諛⑺뼢,?寃잜똿,?寃⑸쾾??諛쒖궗媛?諛섎났,諛쒖궗泥댁깋,諛쒖궗?④낵,?쇨꺽?④낵,?뚰뼢,?덉씠????됱긽,湲濡쒖슦??tradePortListed
