planetId,tradeFactionCode,tradeRegionCode,synthSystemId,zoneIndex,sectorBand,notesKo
synth_058_p,F3,E,synth_058,12,mid,synth audit — 시그널 필드
synth_059_p,F2,S,synth_059,11,mid,synth audit — 패스 스테이션
synth_060_p,F1,W,synth_060,9,mid,synth audit — 트레일 오리진
synth_061_p,F4,N,synth_061,15,late,synth audit — 크로스 프라임
synth_062_p,F3,E,synth_062,3,early,synth audit — 링 허브
synth_063_p,F2,S,synth_063,15,late,synth audit — 아크 딥
synth_064_p,F1,W,synth_064,14,mid,synth audit — 스톤 코어
synth_065_p,F4,N,synth_065,9,mid,synth audit — 필드 게이트
synth_066_p,F3,E,synth_066,5,mid_early,synth audit — 마크 베이스
synth_067_p,F2,S,synth_067,7,mid_early,synth audit — 포인트 시타델
synth_068_p,F1,W,synth_068,8,mid_early,synth audit — 노드 필드
synth_069_p,F4,N,synth_069,7,mid_early,synth audit — 허브 스테이션
synth_070_p,F3,E,synth_070,5,mid_early,synth audit — 코어 오리진
synth_071_p,F2,S,synth_071,13,mid,synth audit — 프론티어 프라임
synth_072_p,F1,W,synth_072,7,mid_early,synth audit — 보더 허브
synth_073_p,F4,N,synth_073,1,early,synth audit — 아웃포스트 딥
synth_074_p,F3,E,synth_074,14,mid,synth audit — 베이스 코어
synth_075_p,F2,S,synth_075,11,mid,synth audit — 캠프 게이트
synth_076_p,F1,W,synth_076,10,mid,synth audit — 거점 베이스
synth_077_p,F4,N,synth_077,14,mid,synth audit — 관문 시타델
synth_078_p,F3,E,synth_078,3,early,synth audit — 요새 필드
synth_079_p,F2,S,synth_079,13,mid,synth audit — 성역 스테이션
