facility_type,level,display_name_kr,stat_r_nudge_daily,stat_p_nudge_daily,stat_d_nudge_daily,stat_t_nudge_daily,stat_e_nudge_daily,tdi_contribution_formula,notesKo
shipyard,14,아크파이어 조선,0,0,0,1.4,0,level*2,v3.2
shipyard,15,은하 최종 조선소,0,0,0,1.5,0,level*2,v3.2
defense_satellite,1,궤도 초소,0,0,0.3,0,0,level*3,v2.0 방위위성 — planet_defense_satellite_level_policy.csv와 병행
defense_satellite,2,경량 방위망,0,0,0.6,0,0,level*3,v2.0
defense_satellite,3,표준 방위망,0,0,0.9,0,0,level*3,v2.0
defense_satellite,4,강화 방위망,0,0,1.2,0,0,level*3,v2.0
defense_satellite,5,전략 방위망,0,0,1.5,0,0,level*3,v2.0
defense_satellite,6,요새 방위망,0,0,1.8,0,0,level*3,v2.0
defense_satellite,7,성계 방위망,0,0,2.1,0,0,level*3,v2.0
defense_satellite,8,광역 방위망,0,0,2.4,0,0,level*3,v2.0
defense_satellite,9,은하 요새,0,0,2.7,0,0,level*3,v2.0
defense_satellite,10,난공불락 요새,0,0,3.0,0,0,level*3,v2.0
defense_satellite,11,초월 방위망,0,0,3.3,0,0,level*3,v3.2
defense_satellite,12,성간 방위 요새,0,0,3.6,0,0,level*3,v3.2
defense_satellite,13,은하 방위 초월,0,0,3.9,0,0,level*3,v3.2
defense_satellite,14,아크파이어 방위,0,0,4.2,0,0,level*3,v3.2
defense_satellite,15,은하 최종 방위,0,0,4.5,0,0,level*3,v3.2
laboratory,1,간이 연구실,0,0,0,0.3,0.3,level*4,v2.0 연구소 신규
laboratory,2,소형 연구소,0,0,0,0.6,0.6,level*4,v2.0
laboratory,3,연구소,0,0,0,0.9,0.9,level*4,v2.0
laboratory,4,확장 연구소,0,0,0,1.2,1.2,level*4,v2.0
laboratory,5,고급 연구소,0,0,0,1.5,1.5,level*4,v2.0
laboratory,6,정예 연구소,0,0,0,1.8,1.8,level*4,v2.0
laboratory,7,성계 연구소,0,0,0,2.1,2.1,level*4,v2.0
laboratory,8,광역 연구소,0,0,0,2.4,2.4,level*4,v2.0
laboratory,9,은하 연구소,0,0,0,2.7,2.7,level*4,v2.0
laboratory,10,아크파이어 연구원,0,0,0,3.0,3.0,level*4,v2.0
laboratory,11,초월 연구 허브,0,0,0,3.3,3.3,level*4,v3.2
laboratory,12,성간 연구 기지,0,0,0,3.6,3.6,level*4,v3.2
laboratory,13,은하 연구 초월,0,0,0,3.9,3.9,level*4,v3.2
laboratory,14,아크파이어 연구원+,0,0,0,4.2,4.2,level*4,v3.2
laboratory,15,은하 최종 연구소,0,0,0,4.5,4.5,level*4,v3.2
tavern,1,임시 주점,0,0.25,0,0,0,level*3,v2.0 선술집 신규
tavern,2,소형 선술집,0,0.5,0,0,0,level*3,v2.0
tavern,3,선술집,0,0.75,0,0,0,level*3,v2.0
tavern,4,확장 선술집,0,1.0,0,0,0,level*3,v2.0
tavern,5,주요 선술집,0,1.25,0,0,0,level*3,v2.0
tavern,6,고급 선술집,0,1.5,0,0,0,level*3,v2.0
tavern,7,성계 선술집,0,1.75,0,0,0,level*3,v2.0
tavern,8,광역 선술집,0,2.0,0,0,0,level*3,v2.0
tavern,9,은하 주점,0,2.25,0,0,0,level*3,v2.0
tavern,10,은하 전설의 주점,0,2.5,0,0,0,level*3,v2.0
tavern,11,초월 용병 주점,0,2.75,0,0,0,level*3,v3.2
tavern,12,성간 용병 허브,0,3.0,0,0,0,level*3,v3.2
tavern,13,은하 전설 주점,0,3.25,0,0,0,level*3,v3.2
tavern,14,아크파이어 주점,0,3.5,0,0,0,level*3,v3.2
tavern,15,은하 최종 주점,0,3.75,0,0,0,level*3,v3.2
