# GENERATED by tools/ship-upgrade-value/run-ship-upgrade-value.ts — 직접 편집 금지. 풀강(15강·9스탯) 전함 스펙·가치 추산. 광물투자=204720cr (ore_ferrite:10200 ore_silicate:6480 ore_crystal:480). 전투/경제 밸런스 참고용.
npcShipId,shipName,hullTier,archetype,ownable,maxUpgradeLevel,baseMaxHp,fullMaxHp,baseMaxShield,fullMaxShield,baseArmor,fullArmor,baseDmgBonus,fullDmgBonus,baseDiceMean,fullDiceMean,baseLaserCdMs,fullLaserCdMs,baseMissileCdMs,fullMissileCdMs,basePerfScore,fullPerfScore,perfScoreGainPct,baseCombatPower,fullCombatPower,combatPowerGainPct,baseTradePrice,mineralInvestCredits,finalEstimatedValue,perfScaledValue
npc_arc_presence_ship_08,크로나급 구난연락 P-08,frigate_upgraded,neutral,0,15,388,1138,182,632,10,10,2,32,11,41,331,181,1368,634,730,2088,185.9,27,539,1905.7,220000,204720,424720,629054
npc_arc_presence_ship_09,린델급 화물선박 P-09,frigate_upgraded,neutral,0,15,385,1135,185,635,10,10,2,32,11,41,333,182,1375,637,729,2086,186.3,27,537,1910.9,220000,204720,424720,629811
npc_arc_presence_ship_10,파크급 항로감시 P-10,frigate_upgraded,neutral,0,15,383,1133,187,637,10,10,2,32,11,41,335,183,1383,641,728,2085,186.5,27,534,1911.7,220000,204720,424720,630318
npc_arc_presence_ship_11,하림급 민간호위 P-11,frigate_upgraded,neutral,0,15,380,1130,190,640,10,10,2,32,11,41,336,183,1390,644,727,2084,186.9,26,532,1914.3,220000,204720,424720,631081
npc_arc_presence_ship_12,베가린급 외곽연락 P-12,frigate_upgraded,neutral,0,15,378,1128,192,642,10,10,2,32,11,41,338,183,1398,648,726,2083,187.1,26,532,1921.3,220000,204720,424720,631590
npc_arcadia_orbit_1,아르카디아 순항1,frigate_upgraded,neutral,0,15,465,1215,182,632,14,14,4,34,20.5,50.5,318,177,1318,611,965,2323,140.7,61,721,1085.5,272858,204720,477578,656657
npc_arcadia_orbit_2,아르카디아 순항2,frigate_upgraded,neutral,0,15,488,1238,188,638,14,14,4,34,20.5,50.5,312,175,1303,604,997,2355,136.1,64,742,1054.2,281990,204720,486710,665789
npc_blue_fleet_1,블루전함1,frigate_upgraded,neutral,0,15,460,1210,200,650,15,15,5,35,21.5,51.5,330,181,1375,637,1002,2360,135.5,63,725,1050.5,283290,204720,488010,667089
npc_blue_fleet_2,블루전함2,frigate_upgraded,neutral,0,15,380,1130,260,710,10,10,8,38,19,49,360,190,1600,742,867,2225,156.6,47,623,1239.1,245122,204720,449842,628920
npc_blue_fleet_3,블루전함3,frigate_upgraded,neutral,0,15,420,1170,160,610,12,12,2,32,20,50,345,185,1480,686,874,2232,155.3,48,644,1232.4,247102,204720,451822,630902
npc_blue_fleet_4,블루전함4,frigate_upgraded,neutral,0,15,470,1220,180,630,13,13,5,35,21.5,51.5,315,176,1310,607,979,2337,138.7,64,738,1055.3,276788,204720,481508,660587
npc_blue_fleet_5,블루전함5,frigate_upgraded,neutral,0,15,510,1260,170,620,14,14,4,34,20.5,50.5,290,167,1205,558,1010,2367,134.5,69,784,1029.4,285000,204720,489720,668247
npc_blue_fleet_6,블루전함6,frigate_upgraded,neutral,0,15,495,1245,210,660,15,15,6,36,19,49,325,181,1370,635,1001,2358,135.7,60,706,1083.1,282866,204720,487586,666665
npc_draco_escort_01,드라코 호위함,frigate_upgraded,neutral,0,15,328,1078,100,550,9,9,3,33,12,42,300,171,1150,533,629,1987,215.8,25,552,2087,220000,204720,424720,694801
npc_draco_patrol_01,드라코 관측함,frigate_upgraded,neutral,0,15,314,1064,95,545,8,8,3,33,12,42,300,171,1150,533,598,1956,226.9,24,543,2175.1,220000,204720,424720,719206
npc_eden_orbit_4,에덴전함4,frigate_upgraded,neutral,0,15,500,1250,140,590,13,13,4,34,20.5,50.5,330,181,1375,637,975,2333,139.2,57,698,1117.9,275657,204720,480377,659456
npc_enemy_abyss_01,어비스 문막기함 01,frigate_upgraded,neutral,0,15,580,1330,190,640,14,14,3,33,12,42,300,171,1150,533,1001,2358,135.7,44,675,1418.4,282866,204720,487586,666665
npc_enemy_abyss_02,어비스 심연함 02,frigate_upgraded,neutral,0,15,580,1330,190,640,14,14,3,33,12,42,300,171,1150,533,1001,2358,135.7,44,675,1418.4,282866,204720,487586,666665
npc_enemy_abyss_03,어비스 차단함 03,frigate_upgraded,neutral,0,15,580,1330,190,640,14,14,3,33,12,42,300,171,1150,533,1001,2358,135.7,44,675,1418.4,282866,204720,487586,666665
npc_enemy_arcadia_01,아르카디아 침입함 01,frigate_upgraded,neutral,0,15,314,1064,95,545,8,8,3,33,12,42,300,171,1150,533,598,1956,226.9,24,543,2175.1,220000,204720,424720,719206
npc_enemy_arcadia_02,아르카디아 차단함 02,frigate_upgraded,neutral,0,15,314,1064,95,545,8,8,3,33,12,42,300,171,1150,533,598,1956,226.9,24,543,2175.1,220000,204720,424720,719206
npc_enemy_arcadia_03,아르카디아 추격함 03,frigate_upgraded,neutral,0,15,314,1064,95,545,8,8,3,33,12,42,300,171,1150,533,598,1956,226.9,24,543,2175.1,220000,204720,424720,719206
npc_enemy_blood_01,블러드 지휘함 01,frigate_upgraded,neutral,0,15,552,1302,180,630,14,14,3,33,12,42,300,171,1150,533,961,2319,141.3,43,663,1457.8,271699,204720,476419,655499
npc_enemy_blood_02,블러드 감독함 02,frigate_upgraded,neutral,0,15,552,1302,180,630,14,14,3,33,12,42,300,171,1150,533,961,2319,141.3,43,663,1457.8,271699,204720,476419,655499
npc_enemy_blood_03,블러드 요격함 03,frigate_upgraded,neutral,0,15,552,1302,180,630,14,14,3,33,12,42,300,171,1150,533,961,2319,141.3,43,663,1457.8,271699,204720,476419,655499
npc_enemy_core_01,코어 수문장함 01,frigate_upgraded,neutral,0,15,720,1470,240,690,18,18,3,33,12,42,300,171,1150,533,1218,2576,111.5,56,747,1242.4,285000,204720,489720,602642
npc_enemy_core_02,코어 감시함 02,frigate_upgraded,neutral,0,15,720,1470,240,690,18,18,3,33,12,42,300,171,1150,533,1218,2576,111.5,56,747,1242.4,285000,204720,489720,602642
npc_enemy_core_03,코어 요격함 03,frigate_upgraded,neutral,0,15,720,1470,240,690,18,18,3,33,12,42,300,171,1150,533,1218,2576,111.5,56,747,1242.4,285000,204720,489720,602642
npc_enemy_crimson_01,크림슨 전열함 01,frigate_upgraded,neutral,0,15,510,1260,165,615,13,13,3,33,12,42,300,171,1150,533,903,2260,150.4,39,642,1534.1,255230,204720,459950,639029
npc_enemy_crimson_02,크림슨 차단함 02,frigate_upgraded,neutral,0,15,510,1260,165,615,13,13,3,33,12,42,300,171,1150,533,903,2260,150.4,39,642,1534.1,255230,204720,459950,639029
npc_enemy_crimson_03,크림슨 포식함 03,frigate_upgraded,neutral,0,15,510,1260,165,615,13,13,3,33,12,42,300,171,1150,533,903,2260,150.4,39,642,1534.1,255230,204720,459950,639029
npc_enemy_dark_01,다크 리프트함 01,frigate_upgraded,neutral,0,15,538,1288,175,625,13,13,3,33,12,42,300,171,1150,533,936,2294,145,41,654,1488,264701,204720,469421,648500
npc_enemy_dark_02,다크 차단함 02,frigate_upgraded,neutral,0,15,538,1288,175,625,13,13,3,33,12,42,300,171,1150,533,936,2294,145,41,654,1488,264701,204720,469421,648500
npc_enemy_dark_03,다크 추격함 03,frigate_upgraded,neutral,0,15,538,1288,175,625,13,13,3,33,12,42,300,171,1150,533,936,2294,145,41,654,1488,264701,204720,469421,648500
npc_enemy_draco_01,드라코 성운함 01,frigate_upgraded,neutral,0,15,314,1064,95,545,8,8,3,33,12,42,300,171,1150,533,598,1956,226.9,24,543,2175.1,220000,204720,424720,719206
npc_enemy_draco_02,드라코 잠행함 02,frigate_upgraded,neutral,0,15,328,1078,100,550,9,9,3,33,12,42,300,171,1150,533,629,1987,215.8,25,552,2087,220000,204720,424720,694801
npc_enemy_draco_03,드라코 추격함 03,frigate_upgraded,neutral,0,15,342,1092,105,555,9,9,3,33,12,42,300,171,1150,533,646,2003,210.2,26,558,2030.5,220000,204720,424720,682485
npc_enemy_eden_01,뉴 에덴 순양함 01,frigate_upgraded,neutral,0,15,370,1120,115,565,10,10,3,33,12,42,300,171,1150,533,693,2051,195.8,28,573,1909.4,220000,204720,424720,650797
npc_enemy_eternity_01,이터니티 영원함 01,frigate_upgraded,neutral,0,15,790,1540,265,715,19,19,3,33,12,42,300,171,1150,533,1322,2679,102.7,61,781,1182.7,285000,204720,489720,577709
npc_enemy_eternity_02,이터니티 감시함 02,frigate_upgraded,neutral,0,15,790,1540,265,715,19,19,3,33,12,42,300,171,1150,533,1322,2679,102.7,61,781,1182.7,285000,204720,489720,577709
npc_enemy_eternity_03,이터니티 요격함 03,frigate_upgraded,neutral,0,15,790,1540,265,715,19,19,3,33,12,42,300,171,1150,533,1322,2679,102.7,61,781,1182.7,285000,204720,489720,577709
npc_enemy_helios_01,헬리오스 강습함 01,frigate_upgraded,neutral,0,15,426,1176,135,585,11,11,3,33,12,42,300,171,1150,533,774,2132,175.3,33,600,1732.6,220000,204720,424720,605728
npc_enemy_helios_02,헬리오스 코일함 02,frigate_upgraded,neutral,0,15,426,1176,135,585,11,11,3,33,12,42,300,171,1150,533,774,2132,175.3,33,600,1732.6,220000,204720,424720,605728
npc_enemy_helios_03,헬리오스 추격함 03,frigate_upgraded,neutral,0,15,426,1176,135,585,11,11,3,33,12,42,300,171,1150,533,774,2132,175.3,33,600,1732.6,220000,204720,424720,605728
npc_enemy_iron_01,아이언 약탈함 01,frigate_upgraded,neutral,0,15,384,1134,120,570,10,10,3,33,12,42,300,171,1150,533,710,2068,191.2,29,579,1864.9,220000,204720,424720,640634
npc_enemy_iron_02,아이언 차단함 02,frigate_upgraded,neutral,0,15,384,1134,120,570,10,10,3,33,12,42,300,171,1150,533,710,2068,191.2,29,579,1864.9,220000,204720,424720,640634
npc_enemy_iron_03,아이언 사냥함 03,frigate_upgraded,neutral,0,15,384,1134,120,570,10,10,3,33,12,42,300,171,1150,533,710,2068,191.2,29,579,1864.9,220000,204720,424720,640634
npc_enemy_minerva_01,미네르바 침입함 01,frigate_upgraded,neutral,0,15,342,1092,105,555,9,9,3,33,12,42,300,171,1150,533,646,2003,210.2,26,558,2030.5,220000,204720,424720,682485
npc_enemy_nightfall_01,나이트폴 군주함 01,frigate_upgraded,neutral,0,15,566,1316,185,635,14,14,3,33,12,42,300,171,1150,533,984,2341,138,44,669,1437.6,278131,204720,482851,661931
npc_enemy_nightfall_02,나이트폴 강습함 02,frigate_upgraded,neutral,0,15,566,1316,185,635,14,14,3,33,12,42,300,171,1150,533,984,2341,138,44,669,1437.6,278131,204720,482851,661931
npc_enemy_nightfall_03,나이트폴 포위함 03,frigate_upgraded,neutral,0,15,566,1316,185,635,14,14,3,33,12,42,300,171,1150,533,984,2341,138,44,669,1437.6,278131,204720,482851,661931
npc_enemy_omega_01,오메가 약탈함 01,frigate_upgraded,neutral,0,15,412,1162,130,580,11,11,3,33,12,42,300,171,1150,533,752,2109,180.6,32,594,1768.4,220000,204720,424720,617405
npc_enemy_omega_02,오메가 차단함 02,frigate_upgraded,neutral,0,15,412,1162,130,580,11,11,3,33,12,42,300,171,1150,533,752,2109,180.6,32,594,1768.4,220000,204720,424720,617405
npc_enemy_omega_03,오메가 사냥함 03,frigate_upgraded,neutral,0,15,412,1162,130,580,11,11,3,33,12,42,300,171,1150,533,752,2109,180.6,32,594,1768.4,220000,204720,424720,617405
npc_enemy_perseus_01,페르세우스 약탈함 01,frigate_upgraded,neutral,0,15,454,1204,145,595,12,12,3,33,12,42,300,171,1150,533,816,2173,166.4,35,615,1653.9,230633,204720,435353,614432
npc_enemy_perseus_02,페르세우스 수집함 02,frigate_upgraded,neutral,0,15,454,1204,145,595,12,12,3,33,12,42,300,171,1150,533,816,2173,166.4,35,615,1653.9,230633,204720,435353,614432
npc_enemy_perseus_03,페르세우스 요격함 03,frigate_upgraded,neutral,0,15,454,1204,145,595,12,12,3,33,12,42,300,171,1150,533,816,2173,166.4,35,615,1653.9,230633,204720,435353,614432
npc_enemy_shadow_01,섀도우 암시장함 01,frigate_upgraded,neutral,0,15,524,1274,170,620,13,13,3,33,12,42,300,171,1150,533,920,2277,147.6,40,648,1510.5,259966,204720,464686,643766
npc_enemy_shadow_02,섀도우 그림자함 02,frigate_upgraded,neutral,0,15,524,1274,170,620,13,13,3,33,12,42,300,171,1150,533,920,2277,147.6,40,648,1510.5,259966,204720,464686,643766
npc_enemy_shadow_03,섀도우 은폐함 03,frigate_upgraded,neutral,0,15,524,1274,170,620,13,13,3,33,12,42,300,171,1150,533,920,2277,147.6,40,648,1510.5,259966,204720,464686,643766
npc_enemy_sirius_01,시리우스 약탈함 01,frigate_upgraded,neutral,0,15,440,1190,140,590,11,11,3,33,12,42,300,171,1150,533,791,2149,171.6,34,606,1698.7,223635,204720,428355,607433
npc_enemy_sirius_02,시리우스 침투함 02,frigate_upgraded,neutral,0,15,440,1190,140,590,11,11,3,33,12,42,300,171,1150,533,791,2149,171.6,34,606,1698.7,223635,204720,428355,607433
npc_enemy_sirius_03,시리우스 호위함 03,frigate_upgraded,neutral,0,15,440,1190,140,590,11,11,3,33,12,42,300,171,1150,533,791,2149,171.6,34,606,1698.7,223635,204720,428355,607433
npc_enemy_solar_01,솔라 침입함 01,frigate_upgraded,neutral,0,15,328,1078,100,550,9,9,3,33,12,42,300,171,1150,533,629,1987,215.8,25,552,2087,220000,204720,424720,694801
npc_enemy_titan_01,타이탄 강탈함 01,frigate_upgraded,neutral,0,15,440,1190,140,590,11,11,3,33,12,42,300,171,1150,533,791,2149,171.6,34,606,1698.7,223635,204720,428355,607433
npc_enemy_titan_02,타이탄 추적함 02,frigate_upgraded,neutral,0,15,440,1190,140,590,11,11,3,33,12,42,300,171,1150,533,791,2149,171.6,34,606,1698.7,223635,204720,428355,607433
npc_enemy_titan_03,타이탄 차단함 03,frigate_upgraded,neutral,0,15,440,1190,140,590,11,11,3,33,12,42,300,171,1150,533,791,2149,171.6,34,606,1698.7,223635,204720,428355,607433
npc_enemy_vega_01,베가 침입함 01,frigate_upgraded,neutral,0,15,356,1106,110,560,9,9,3,33,12,42,300,171,1150,533,663,2020,204.9,27,564,1978,220000,204720,424720,670792
npc_faction_cargo_ship_e_01,자유 화물선 E-01,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_02,자유 화물선 E-02,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_03,자유 화물선 E-03,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_04,자유 화물선 E-04,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_05,자유 화물선 E-05,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_06,자유 화물선 E-06,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_07,자유 화물선 E-07,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_08,자유 화물선 E-08,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_09,자유 화물선 E-09,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_10,자유 화물선 E-10,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_11,자유 화물선 E-11,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_e_12,자유 화물선 E-12,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_01,외곽 화물선 N-01,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_02,외곽 화물선 N-02,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_03,외곽 화물선 N-03,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_04,외곽 화물선 N-04,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_05,외곽 화물선 N-05,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_06,외곽 화물선 N-06,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_07,외곽 화물선 N-07,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_08,외곽 화물선 N-08,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_09,외곽 화물선 N-09,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_10,외곽 화물선 N-10,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_11,외곽 화물선 N-11,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_n_12,외곽 화물선 N-12,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_01,산업 화물선 S-01,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_02,산업 화물선 S-02,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_03,산업 화물선 S-03,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_04,산업 화물선 S-04,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_05,산업 화물선 S-05,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_06,산업 화물선 S-06,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_07,산업 화물선 S-07,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_08,산업 화물선 S-08,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_09,산업 화물선 S-09,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_10,산업 화물선 S-10,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_11,산업 화물선 S-11,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_s_12,산업 화물선 S-12,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_01,연방 화물선 W-01,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_02,연방 화물선 W-02,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_03,연방 화물선 W-03,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_04,연방 화물선 W-04,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_05,연방 화물선 W-05,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_06,연방 화물선 W-06,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_07,연방 화물선 W-07,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_08,연방 화물선 W-08,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_09,연방 화물선 W-09,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_10,연방 화물선 W-10,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_11,연방 화물선 W-11,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_faction_cargo_ship_w_12,연방 화물선 W-12,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_mock_ai_ship_01,모의전함 01,frigate_upgraded,neutral,0,15,480,1230,180,630,12,12,4,34,20.5,50.5,318,176,1300,602,963,2321,141,61,725,1094.3,272264,204720,476984,656063
npc_mock_ai_ship_02,모의전함 02,frigate_upgraded,neutral,0,15,490,1240,170,620,13,13,4,34,20.5,50.5,310,174,1280,593,982,2339,138.3,63,739,1077.4,277495,204720,482215,661295
npc_mock_ai_ship_03,모의전함 03,frigate_upgraded,neutral,0,15,510,1260,185,635,14,14,4,34,20.5,50.5,304,171,1260,584,1018,2375,133.4,68,766,1034.4,285000,204720,489720,665140
